cohort,ticker,cik,finra_symbols_observed,first_observed_settlement_date,last_observed_settlement_date,observed_settlement_dates,expected_settlement_dates,symbol_date_coverage,time_valid_cik_linked_dates,time_valid_cik_link_coverage,link_sources,link_status
ORIGINAL_RESEARCH_51,PG,0000080424,PG,2021-06-15,2026-06-30,122,122,1.0,0,0.0,,CURRENT_SYMBOL_OBSERVED_PIT_CIK_UNVERIFIED
ORIGINAL_RESEARCH_51,PLD,0001045609,PLD,2021-06-15,2026-06-30,122,122,1.0,0,0.0,,CURRENT_SYMBOL_OBSERVED_PIT_CIK_UNVERIFIED
ORIGINAL_RESEARCH_51,SHW,0000089800,SHW,2021-06-15,2026-06-30,122,122,1.0,0,0.0,,CURRENT_SYMBOL_OBSERVED_PIT_CIK_UNVERIFIED
ORIGINAL_RESEARCH_51,SLB,0000087347,SLB,2021-06-15,2026-06-30,122,122,1.0,0,0.0,,CURRENT_SYMBOL_OBSERVED_PIT_CIK_UNVERIFIED
ORIGINAL_RESEARCH_51,SO,0000092122,SO,2021-06-15,2026-06-30,122,122,1.0,0,0.0,,CURRENT_SYMBOL_OBSERVED_PIT_CIK_UNVERIFIED
ORIGINAL_RESEARCH_51,TMUS,0001283699,TMUS,2021-06-15,2026-06-30,122,122,1.0,0,0.0,,CURRENT_SYMBOL_OBSERVED_PIT_CIK_UNVERIFIED
ORIGINAL_RESEARCH_51,TSLA,0001318605,TSLA,2021-06-15,2026-06-30,122,122,1.0,0,0.0,,CURRENT_SYMBOL_OBSERVED_PIT_CIK_UNVERIFIED
ORIGINAL_RESEARCH_51,UNH,0000731766,UNH,2021-06-15,2026-06-30,122,122,1.0,0,0.0,,CURRENT_SYMBOL_OBSERVED_PIT_CIK_UNVERIFIED
ORIGINAL_RESEARCH_51,UNP,0000100885,UNP,2021-06-15,2026-06-30,122,122,1.0,0,0.0,,CURRENT_SYMBOL_OBSERVED_PIT_CIK_UNVERIFIED
ORIGINAL_RESEARCH_51,V,0001403161,V,2021-06-15,2026-06-30,122,122,1.0,0,0.0,,CURRENT_SYMBOL_OBSERVED_PIT_CIK_UNVERIFIED
ORIGINAL_RESEARCH_51,WMT,0000104169,WMT,2021-06-15,2026-06-30,122,122,1.0,0,0.0,,CURRENT_SYMBOL_OBSERVED_PIT_CIK_UNVERIFIED
ORIGINAL_RESEARCH_51,XOM,0000034088,XOM,2021-06-15,2026-06-30,122,122,1.0,122,1.0,PRICE_UNIVERSE_CIK_PERIODS,TIME_VALID_CIK_VERIFIED
INDEPENDENT_ELIGIBLE_388,A,0001090872,A,2021-06-15,2026-06-30,122,122,1.0,0,0.0,,CURRENT_SYMBOL_OBSERVED_PIT_CIK_UNVERIFIED
INDEPENDENT_ELIGIBLE_388,ABT,0000001800,ABT,2021-06-15,2026-06-30,122,122,1.0,0,0.0,,CURRENT_SYMBOL_OBSERVED_PIT_CIK_UNVERIFIED
INDEPENDENT_ELIGIBLE_388,ACGL,0000947484,ACGL,2021-06-15,2026-06-30,122,122,1.0,0,0.0,,CURRENT_SYMBOL_OBSERVED_PIT_CIK_UNVERIFIED
INDEPENDENT_ELIGIBLE_388,ACN,0001467373,ACN,2021-06-15,2026-06-30,122,122,1.0,0,0.0,,CURRENT_SYMBOL_OBSERVED_PIT_CIK_UNVERIFIED
INDEPENDENT_ELIGIBLE_388,ADBE,0000796343,ADBE,2021-06-15,2026-06-30,122,122,1.0,0,0.0,,CURRENT_SYMBOL_OBSERVED_PIT_CIK_UNVERIFIED
INDEPENDENT_ELIGIBLE_388,ADI,0000006281,ADI,2021-06-15,2026-06-30,122,122,1.0,0,0.0,,CURRENT_SYMBOL_OBSERVED_PIT_CIK_UNVERIFIED
INDEPENDENT_ELIGIBLE_388,ADM,0000007084,ADM,2021-06-15,2026-06-30,122,122,1.0,0,0.0,,CURRENT_SYMBOL_OBSERVED_PIT_CIK_UNVERIFIED
INDEPENDENT_ELIGIBLE_388,ADP,0000008670,ADP,2021-06-15,2026-06-30,122,122,1.0,0,0.0,,CURRENT_SYMBOL_OBSERVED_PIT_CIK_UNVERIFIED
INDEPENDENT_ELIGIBLE_388,ADSK,0000769397,ADSK,2021-06-15,2026-06-30,122,122,1.0,0,0.0,,CURRENT_SYMBOL_OBSERVED_PIT_CIK_UNVERIFIED
INDEPENDENT_ELIGIBLE_388,AEE,0001002910,AEE,2021-06-15,2026-06-30,122,122,1.0,0,0.0,,CURRENT_SYMBOL_OBSERVED_PIT_CIK_UNVERIFIED
INDEPENDENT_ELIGIBLE_388,AEP,0000004904,AEP,2021-06-15,2026-06-30,122,122,1.0,0,0.0,,CURRENT_SYMBOL_OBSERVED_PIT_CIK_UNVERIFIED
INDEPENDENT_ELIGIBLE_388,AES,0000874761,AES,2021-06-15,2026-06-30,122,122,1.0,0,0.0,,CURRENT_SYMBOL_OBSERVED_PIT_CIK_UNVERIFIED
INDEPENDENT_ELIGIBLE_388,AFL,0000004977,AFL,2021-06-15,2026-06-30,122,122,1.0,0,0.0,,CURRENT_SYMBOL_OBSERVED_PIT_CIK_UNVERIFIED
INDEPENDENT_ELIGIBLE_388,AIG,0000005272,AIG,2021-06-15,2026-06-30,122,122,1.0,0,0.0,,CURRENT_SYMBOL_OBSERVED_PIT_CIK_UNVERIFIED
INDEPENDENT_ELIGIBLE_388,AIZ,0001267238,AIZ,2021-06-15,2026-06-30,122,122,1.0,0,0.0,,CURRENT_SYMBOL_OBSERVED_PIT_CIK_UNVERIFIED
INDEPENDENT_ELIGIBLE_388,AJG,0000354190,AJG,2021-06-15,2026-06-30,122,122,1.0,0,0.0,,CURRENT_SYMBOL_OBSERVED_PIT_CIK_UNVERIFIED
INDEPENDENT_ELIGIBLE_388,AKAM,0001086222,AKAM,2021-06-15,2026-06-30,122,122,1.0,0,0.0,,CURRENT_SYMBOL_OBSERVED_PIT_CIK_UNVERIFIED
INDEPENDENT_ELIGIBLE_388,ALB,0000915913,ALB,2021-06-15,2026-06-30,122,122,1.0,0,0.0,,CURRENT_SYMBOL_OBSERVED_PIT_CIK_UNVERIFIED
INDEPENDENT_ELIGIBLE_388,ALGN,0001097149,ALGN,2021-06-15,2026-06-30,122,122,1.0,0,0.0,,CURRENT_SYMBOL_OBSERVED_PIT_CIK_UNVERIFIED
INDEPENDENT_ELIGIBLE_388,ALL,0000899051,ALL,2021-06-15,2026-06-30,122,122,1.0,0,0.0,,CURRENT_SYMBOL_OBSERVED_PIT_CIK_UNVERIFIED
INDEPENDENT_ELIGIBLE_388,AMAT,0000006951,AMAT,2021-06-15,2026-06-30,122,122,1.0,0,0.0,,CURRENT_SYMBOL_OBSERVED_PIT_CIK_UNVERIFIED
INDEPENDENT_ELIGIBLE_388,AMD,0000002488,AMD,2021-06-15,2026-06-30,122,122,1.0,0,0.0,,CURRENT_SYMBOL_OBSERVED_PIT_CIK_UNVERIFIED
INDEPENDENT_ELIGIBLE_388,AME,0001037868,AME,2021-06-15,2026-06-30,122,122,1.0,0,0.0,,CURRENT_SYMBOL_OBSERVED_PIT_CIK_UNVERIFIED
INDEPENDENT_ELIGIBLE_388,AMGN,0000318154,AMGN,2021-06-15,2026-06-30,122,122,1.0,0,0.0,,CURRENT_SYMBOL_OBSERVED_PIT_CIK_UNVERIFIED
INDEPENDENT_ELIGIBLE_388,AMP,0000820027,AMP,2021-06-15,2026-06-30,122,122,1.0,0,0.0,,CURRENT_SYMBOL_OBSERVED_PIT_CIK_UNVERIFIED
INDEPENDENT_ELIGIBLE_388,AON,0000315293,AON,2021-06-15,2026-06-30,122,122,1.0,0,0.0,,CURRENT_SYMBOL_OBSERVED_PIT_CIK_UNVERIFIED
INDEPENDENT_ELIGIBLE_388,AOS,0000091142,AOS,2021-06-15,2026-06-30,122,122,1.0,0,0.0,,CURRENT_SYMBOL_OBSERVED_PIT_CIK_UNVERIFIED
INDEPENDENT_ELIGIBLE_388,APA,0001841666,APA,2021-06-15,2026-06-30,122,122,1.0,0,0.0,,CURRENT_SYMBOL_OBSERVED_PIT_CIK_UNVERIFIED
INDEPENDENT_ELIGIBLE_388,APH,0000820313,APH,2021-06-15,2026-06-30,122,122,1.0,0,0.0,,CURRENT_SYMBOL_OBSERVED_PIT_CIK_UNVERIFIED
INDEPENDENT_ELIGIBLE_388,APO,0001858681,APO,2021-06-15,2026-06-30,122,122,1.0,0,0.0,,CURRENT_SYMBOL_OBSERVED_PIT_CIK_UNVERIFIED
INDEPENDENT_ELIGIBLE_388,APTV,0001521332,APTV,2021-06-15,2026-06-30,122,122,1.0,0,0.0,,CURRENT_SYMBOL_OBSERVED_PIT_CIK_UNVERIFIED
INDEPENDENT_ELIGIBLE_388,ARE,0001035443,ARE,2021-06-15,2026-06-30,122,122,1.0,0,0.0,,CURRENT_SYMBOL_OBSERVED_PIT_CIK_UNVERIFIED
INDEPENDENT_ELIGIBLE_388,ATO,0000731802,ATO,2021-06-15,2026-06-30,122,122,1.0,0,0.0,,CURRENT_SYMBOL_OBSERVED_PIT_CIK_UNVERIFIED
INDEPENDENT_ELIGIBLE_388,AVB,0000915912,AVB,2021-06-15,2026-06-30,122,122,1.0,0,0.0,,CURRENT_SYMBOL_OBSERVED_PIT_CIK_UNVERIFIED
INDEPENDENT_ELIGIBLE_388,AVY,0000008818,AVY,2021-06-15,2026-06-30,122,122,1.0,0,0.0,,CURRENT_SYMBOL_OBSERVED_PIT_CIK_UNVERIFIED
INDEPENDENT_ELIGIBLE_388,AWK,0001410636,AWK,2021-06-15,2026-06-30,122,122,1.0,0,0.0,,CURRENT_SYMBOL_OBSERVED_PIT_CIK_UNVERIFIED
INDEPENDENT_ELIGIBLE_388,AXON,0001069183,AXON,2021-06-15,2026-06-30,122,122,1.0,0,0.0,,CURRENT_SYMBOL_OBSERVED_PIT_CIK_UNVERIFIED
INDEPENDENT_ELIGIBLE_388,AXP,0000004962,AXP,2021-06-15,2026-06-30,122,122,1.0,0,0.0,,CURRENT_SYMBOL_OBSERVED_PIT_CIK_UNVERIFIED
INDEPENDENT_ELIGIBLE_388,AZO,0000866787,AZO,2021-06-15,2026-06-30,122,122,1.0,0,0.0,,CURRENT_SYMBOL_OBSERVED_PIT_CIK_UNVERIFIED
INDEPENDENT_ELIGIBLE_388,BALL,0000009389,BALL,2022-05-13,2026-06-30,100,122,0.819672131147541,0,0.0,,CURRENT_SYMBOL_OBSERVED_PIT_CIK_UNVERIFIED
INDEPENDENT_ELIGIBLE_388,BAX,0000010456,BAX,2021-06-15,2026-06-30,122,122,1.0,0,0.0,,CURRENT_SYMBOL_OBSERVED_PIT_CIK_UNVERIFIED
INDEPENDENT_ELIGIBLE_388,BBY,0000764478,BBY,2021-06-15,2026-06-30,122,122,1.0,0,0.0,,CURRENT_SYMBOL_OBSERVED_PIT_CIK_UNVERIFIED
INDEPENDENT_ELIGIBLE_388,BDX,0000010795,BDX,2021-06-15,2026-06-30,122,122,1.0,0,0.0,,CURRENT_SYMBOL_OBSERVED_PIT_CIK_UNVERIFIED
INDEPENDENT_ELIGIBLE_388,BEN,0000038777,BEN,2021-06-15,2026-06-30,122,122,1.0,0,0.0,,CURRENT_SYMBOL_OBSERVED_PIT_CIK_UNVERIFIED
INDEPENDENT_ELIGIBLE_388,BF-B,0000014693,BFB,2021-06-15,2026-06-30,122,122,1.0,0,0.0,,CURRENT_SYMBOL_OBSERVED_PIT_CIK_UNVERIFIED
INDEPENDENT_ELIGIBLE_388,BG,0001996862,BG,2021-06-15,2026-06-30,122,122,1.0,0,0.0,,CURRENT_SYMBOL_OBSERVED_PIT_CIK_UNVERIFIED
INDEPENDENT_ELIGIBLE_388,BIIB,0000875045,BIIB,2021-06-15,2026-06-30,122,122,1.0,0,0.0,,CURRENT_SYMBOL_OBSERVED_PIT_CIK_UNVERIFIED
INDEPENDENT_ELIGIBLE_388,BKNG,0001075531,BKNG,2021-06-15,2026-06-30,122,122,1.0,0,0.0,,CURRENT_SYMBOL_OBSERVED_PIT_CIK_UNVERIFIED
INDEPENDENT_ELIGIBLE_388,BKR,0001701605,BKR,2021-06-15,2026-06-30,122,122,1.0,122,1.0,VERIFIED_TICKER_ALIAS_LEDGER,TIME_VALID_CIK_VERIFIED
INDEPENDENT_ELIGIBLE_388,BLDR,0001316835,BLDR,2021-06-15,2026-06-30,122,122,1.0,0,0.0,,CURRENT_SYMBOL_OBSERVED_PIT_CIK_UNVERIFIED
INDEPENDENT_ELIGIBLE_388,BLK,0002012383,BLK,2021-06-15,2026-06-30,122,122,1.0,0,0.0,,CURRENT_SYMBOL_OBSERVED_PIT_CIK_UNVERIFIED
INDEPENDENT_ELIGIBLE_388,BMY,0000014272,BMY,2021-06-15,2026-06-30,122,122,1.0,0,0.0,,CURRENT_SYMBOL_OBSERVED_PIT_CIK_UNVERIFIED
INDEPENDENT_ELIGIBLE_388,BNY,0001390777,BNY,2021-06-15,2026-06-30,115,122,0.9426229508196722,0,0.0,,CURRENT_SYMBOL_OBSERVED_PIT_CIK_UNVERIFIED
INDEPENDENT_ELIGIBLE_388,BR,0001383312,BR,2021-06-15,2026-06-30,122,122,1.0,0,0.0,,CURRENT_SYMBOL_OBSERVED_PIT_CIK_UNVERIFIED
INDEPENDENT_ELIGIBLE_388,BRK-B,0001067983,BRKB,2021-06-15,2026-06-30,122,122,1.0,0,0.0,,CURRENT_SYMBOL_OBSERVED_PIT_CIK_UNVERIFIED
INDEPENDENT_ELIGIBLE_388,BRO,0000079282,BRO,2021-06-15,2026-06-30,122,122,1.0,0,0.0,,CURRENT_SYMBOL_OBSERVED_PIT_CIK_UNVERIFIED
INDEPENDENT_ELIGIBLE_388,BSX,0000885725,BSX,2021-06-15,2026-06-30,122,122,1.0,0,0.0,,CURRENT_SYMBOL_OBSERVED_PIT_CIK_UNVERIFIED
INDEPENDENT_ELIGIBLE_388,BX,0001393818,BX,2021-06-15,2026-06-30,122,122,1.0,0,0.0,,CURRENT_SYMBOL_OBSERVED_PIT_CIK_UNVERIFIED
INDEPENDENT_ELIGIBLE_388,BXP,0001037540,BXP,2021-06-15,2026-06-30,122,122,1.0,0,0.0,,CURRENT_SYMBOL_OBSERVED_PIT_CIK_UNVERIFIED
INDEPENDENT_ELIGIBLE_388,C,0000831001,C,2021-06-15,2026-06-30,122,122,1.0,0,0.0,,CURRENT_SYMBOL_OBSERVED_PIT_CIK_UNVERIFIED
INDEPENDENT_ELIGIBLE_388,CAH,0000721371,CAH,2021-06-15,2026-06-30,122,122,1.0,0,0.0,,CURRENT_SYMBOL_OBSERVED_PIT_CIK_UNVERIFIED
INDEPENDENT_ELIGIBLE_388,CASY,0000726958,CASY,2021-06-15,2026-06-30,122,122,1.0,0,0.0,,CURRENT_SYMBOL_OBSERVED_PIT_CIK_UNVERIFIED
INDEPENDENT_ELIGIBLE_388,CB,0000896159,CB,2021-06-15,2026-06-30,122,122,1.0,0,0.0,,CURRENT_SYMBOL_OBSERVED_PIT_CIK_UNVERIFIED
INDEPENDENT_ELIGIBLE_388,CBOE,0001374310,CBOE,2021-06-15,2026-06-30,122,122,1.0,0,0.0,,CURRENT_SYMBOL_OBSERVED_PIT_CIK_UNVERIFIED
INDEPENDENT_ELIGIBLE_388,CBRE,0001138118,CBRE,2021-06-15,2026-06-30,122,122,1.0,0,0.0,,CURRENT_SYMBOL_OBSERVED_PIT_CIK_UNVERIFIED
INDEPENDENT_ELIGIBLE_388,CCI,0001051470,CCI,2021-06-15,2026-06-30,122,122,1.0,0,0.0,,CURRENT_SYMBOL_OBSERVED_PIT_CIK_UNVERIFIED
INDEPENDENT_ELIGIBLE_388,CCL,0000815097,CCL,2021-06-15,2026-06-30,122,122,1.0,0,0.0,,CURRENT_SYMBOL_OBSERVED_PIT_CIK_UNVERIFIED
INDEPENDENT_ELIGIBLE_388,CDNS,0000813672,CDNS,2021-06-15,2026-06-30,122,122,1.0,0,0.0,,CURRENT_SYMBOL_OBSERVED_PIT_CIK_UNVERIFIED
INDEPENDENT_ELIGIBLE_388,CF,0001324404,CF,2021-06-15,2026-06-30,122,122,1.0,0,0.0,,CURRENT_SYMBOL_OBSERVED_PIT_CIK_UNVERIFIED
INDEPENDENT_ELIGIBLE_388,CHD,0000313927,CHD,2021-06-15,2026-06-30,122,122,1.0,0,0.0,,CURRENT_SYMBOL_OBSERVED_PIT_CIK_UNVERIFIED
INDEPENDENT_ELIGIBLE_388,CHRW,0001043277,CHRW,2021-06-15,2026-06-30,122,122,1.0,0,0.0,,CURRENT_SYMBOL_OBSERVED_PIT_CIK_UNVERIFIED
INDEPENDENT_ELIGIBLE_388,CHTR,0001091667,CHTR,2021-06-15,2026-06-30,122,122,1.0,0,0.0,,CURRENT_SYMBOL_OBSERVED_PIT_CIK_UNVERIFIED
INDEPENDENT_ELIGIBLE_388,CI,0001739940,CI,2021-06-15,2026-06-30,122,122,1.0,0,0.0,,CURRENT_SYMBOL_OBSERVED_PIT_CIK_UNVERIFIED
INDEPENDENT_ELIGIBLE_388,CIEN,0000936395,CIEN,2021-06-15,2026-06-30,122,122,1.0,0,0.0,,CURRENT_SYMBOL_OBSERVED_PIT_CIK_UNVERIFIED
INDEPENDENT_ELIGIBLE_388,CINF,0000020286,CINF,2021-06-15,2026-06-30,122,122,1.0,0,0.0,,CURRENT_SYMBOL_OBSERVED_PIT_CIK_UNVERIFIED
INDEPENDENT_ELIGIBLE_388,CL,0000021665,CL,2021-06-15,2026-06-30,122,122,1.0,0,0.0,,CURRENT_SYMBOL_OBSERVED_PIT_CIK_UNVERIFIED
INDEPENDENT_ELIGIBLE_388,CLX,0000021076,CLX,2021-06-15,2026-06-30,122,122,1.0,0,0.0,,CURRENT_SYMBOL_OBSERVED_PIT_CIK_UNVERIFIED
INDEPENDENT_ELIGIBLE_388,CMCSA,0001166691,CMCSA,2021-06-15,2026-06-30,122,122,1.0,0,0.0,,CURRENT_SYMBOL_OBSERVED_PIT_CIK_UNVERIFIED
INDEPENDENT_ELIGIBLE_388,CME,0001156375,CME,2021-06-15,2026-06-30,122,122,1.0,0,0.0,,CURRENT_SYMBOL_OBSERVED_PIT_CIK_UNVERIFIED
INDEPENDENT_ELIGIBLE_388,CMG,0001058090,CMG,2021-06-15,2026-06-30,122,122,1.0,0,0.0,,CURRENT_SYMBOL_OBSERVED_PIT_CIK_UNVERIFIED
INDEPENDENT_ELIGIBLE_388,CMI,0000026172,CMI,2021-06-15,2026-06-30,122,122,1.0,0,0.0,,CURRENT_SYMBOL_OBSERVED_PIT_CIK_UNVERIFIED
INDEPENDENT_ELIGIBLE_388,CMS,0000811156,CMS,2021-06-15,2026-06-30,122,122,1.0,0,0.0,,CURRENT_SYMBOL_OBSERVED_PIT_CIK_UNVERIFIED
INDEPENDENT_ELIGIBLE_388,CNC,0001071739,CNC,2021-06-15,2026-06-30,122,122,1.0,0,0.0,,CURRENT_SYMBOL_OBSERVED_PIT_CIK_UNVERIFIED
INDEPENDENT_ELIGIBLE_388,CNP,0001130310,CNP,2021-06-15,2026-06-30,122,122,1.0,0,0.0,,CURRENT_SYMBOL_OBSERVED_PIT_CIK_UNVERIFIED
INDEPENDENT_ELIGIBLE_388,COF,0000927628,COF,2021-06-15,2026-06-30,122,122,1.0,0,0.0,,CURRENT_SYMBOL_OBSERVED_PIT_CIK_UNVERIFIED
INDEPENDENT_ELIGIBLE_388,COHR,0000820318,COHR,2021-06-15,2026-06-30,118,122,0.9672131147540983,0,0.0,,CURRENT_SYMBOL_OBSERVED_PIT_CIK_UNVERIFIED
INDEPENDENT_ELIGIBLE_388,COO,0000711404,COO,2021-06-15,2026-06-30,122,122,1.0,0,0.0,,CURRENT_SYMBOL_OBSERVED_PIT_CIK_UNVERIFIED
INDEPENDENT_ELIGIBLE_388,COR,0001140859,COR,2021-06-15,2026-06-30,82,122,0.6721311475409836,0,0.0,,CURRENT_SYMBOL_OBSERVED_PIT_CIK_UNVERIFIED
