queue_id,batch_id,cik,route,event_count,first_event_date,last_event_date,first_accession_number,reviewed_anchor_count,anchor_symbols,first_anchor_date,last_anchor_date,required_evidence,collection_status,review_status,promotion_status
PRE2019-0099,B010,0000872589,HISTORICAL_MASTER_DISCOVERY,1,2005-09-26,2005-09-26,0000950123-05-011496,0,,,,HISTORICAL_LISTING_IDENTITY_AND_BOUNDARIES,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0100,B010,0000006281,HISTORICAL_MASTER_DISCOVERY,1,2005-10-20,2005-10-20,0001157523-05-009028,0,,,,HISTORICAL_LISTING_IDENTITY_AND_BOUNDARIES,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0101,B011,0001039684,HISTORICAL_MASTER_DISCOVERY,3,2005-10-25,2014-02-05,0001193125-05-207825,0,,,,HISTORICAL_LISTING_IDENTITY_AND_BOUNDARIES,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0102,B011,0000002488,HISTORICAL_MASTER_DISCOVERY,13,2005-10-27,2015-10-01,0001193125-05-209954,0,,,,HISTORICAL_LISTING_IDENTITY_AND_BOUNDARIES,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0103,B011,0000796343,HISTORICAL_MASTER_DISCOVERY,4,2005-12-07,2011-11-08,0001104659-05-059604,0,,,,HISTORICAL_LISTING_IDENTITY_AND_BOUNDARIES,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0104,B011,0000943819,HISTORICAL_MASTER_DISCOVERY,1,2006-01-11,2006-01-11,0001193125-06-004871,0,,,,HISTORICAL_LISTING_IDENTITY_AND_BOUNDARIES,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0105,B011,0001341439,HISTORICAL_MASTER_DISCOVERY,3,2006-02-15,2010-06-04,0001193125-06-032719,0,,,,HISTORICAL_LISTING_IDENTITY_AND_BOUNDARIES,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0106,B011,0000097745,HISTORICAL_MASTER_DISCOVERY,3,2006-04-28,2012-06-28,0000097745-06-000100,0,,,,HISTORICAL_LISTING_IDENTITY_AND_BOUNDARIES,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0107,B011,0000026172,HISTORICAL_MASTER_DISCOVERY,1,2006-05-12,2006-05-12,0000026172-06-000013,0,,,,HISTORICAL_LISTING_IDENTITY_AND_BOUNDARIES,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0108,B011,0000943452,HISTORICAL_MASTER_DISCOVERY,1,2006-07-25,2006-07-25,0001193125-06-152349,0,,,,HISTORICAL_LISTING_IDENTITY_AND_BOUNDARIES,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0109,B011,0000320193,HISTORICAL_MASTER_DISCOVERY,1,2006-08-04,2006-08-04,0001104659-06-051302,0,,,,HISTORICAL_LISTING_IDENTITY_AND_BOUNDARIES,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0110,B011,0000012927,HISTORICAL_MASTER_DISCOVERY,1,2006-08-22,2006-08-22,0001193125-06-177709,0,,,,HISTORICAL_LISTING_IDENTITY_AND_BOUNDARIES,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0111,B012,0000062709,HISTORICAL_MASTER_DISCOVERY,1,2006-09-20,2006-09-20,0000062709-06-000177,0,,,,HISTORICAL_LISTING_IDENTITY_AND_BOUNDARIES,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0112,B012,0000319201,HISTORICAL_MASTER_DISCOVERY,5,2006-10-03,2015-06-26,0000950134-06-018591,0,,,,HISTORICAL_LISTING_IDENTITY_AND_BOUNDARIES,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0113,B012,0000202058,HISTORICAL_MASTER_DISCOVERY,9,2006-10-11,2017-02-01,0001299933-06-006510,0,,,,HISTORICAL_LISTING_IDENTITY_AND_BOUNDARIES,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0114,B012,0001031296,HISTORICAL_MASTER_DISCOVERY,12,2006-11-02,2018-02-20,0001031296-06-000252,0,,,,HISTORICAL_LISTING_IDENTITY_AND_BOUNDARIES,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0115,B012,0001045810,HISTORICAL_MASTER_DISCOVERY,2,2006-11-06,2008-09-18,0001193125-06-223958,0,,,,HISTORICAL_LISTING_IDENTITY_AND_BOUNDARIES,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0116,B012,0001014473,HISTORICAL_MASTER_DISCOVERY,5,2006-11-21,2010-08-02,0001193125-06-240200,0,,,,HISTORICAL_LISTING_IDENTITY_AND_BOUNDARIES,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0117,B012,0001099800,HISTORICAL_MASTER_DISCOVERY,2,2006-12-05,2012-02-27,0001104659-06-079501,0,,,,HISTORICAL_LISTING_IDENTITY_AND_BOUNDARIES,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0118,B012,0000753308,HISTORICAL_MASTER_DISCOVERY,1,2006-12-15,2006-12-15,0000753308-06-000113,0,,,,HISTORICAL_LISTING_IDENTITY_AND_BOUNDARIES,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0119,B012,0000063908,HISTORICAL_MASTER_DISCOVERY,1,2007-04-20,2007-04-20,0001193125-07-085777,0,,,,HISTORICAL_LISTING_IDENTITY_AND_BOUNDARIES,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0120,B012,0000096021,HISTORICAL_MASTER_DISCOVERY,2,2007-05-07,2015-06-29,0000950129-07-002289,0,,,,HISTORICAL_LISTING_IDENTITY_AND_BOUNDARIES,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0121,B013,0000833444,HISTORICAL_MASTER_DISCOVERY,1,2007-06-13,2007-06-13,0001104659-07-047272,0,,,,HISTORICAL_LISTING_IDENTITY_AND_BOUNDARIES,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0122,B013,0001163165,HISTORICAL_MASTER_DISCOVERY,3,2007-06-27,2017-06-29,0000950129-07-003123,0,,,,HISTORICAL_LISTING_IDENTITY_AND_BOUNDARIES,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0123,B013,0000318154,HISTORICAL_MASTER_DISCOVERY,3,2007-08-15,2014-10-28,0001193125-07-183978,0,,,,HISTORICAL_LISTING_IDENTITY_AND_BOUNDARIES,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0124,B013,0000910521,HISTORICAL_MASTER_DISCOVERY,1,2007-09-10,2007-09-10,0001104659-07-068082,0,,,,HISTORICAL_LISTING_IDENTITY_AND_BOUNDARIES,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0125,B013,0000200406,HISTORICAL_MASTER_DISCOVERY,4,2007-11-29,2018-04-17,0000200406-07-000139,0,,,,HISTORICAL_LISTING_IDENTITY_AND_BOUNDARIES,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0126,B013,0000072903,HISTORICAL_MASTER_DISCOVERY,2,2007-12-05,2015-03-12,0001104659-07-086940,0,,,,HISTORICAL_LISTING_IDENTITY_AND_BOUNDARIES,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0127,B013,0001059556,HISTORICAL_MASTER_DISCOVERY,2,2008-01-07,2009-04-02,0001193125-08-002520,0,,,,HISTORICAL_LISTING_IDENTITY_AND_BOUNDARIES,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0128,B013,0000059478,HISTORICAL_MASTER_DISCOVERY,2,2008-03-13,2009-10-14,0001299933-08-001365,0,,,,HISTORICAL_LISTING_IDENTITY_AND_BOUNDARIES,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0129,B013,0000106040,HISTORICAL_MASTER_DISCOVERY,5,2008-03-21,2016-01-22,0001299933-08-001545,0,,,,HISTORICAL_LISTING_IDENTITY_AND_BOUNDARIES,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0130,B013,0001381197,HISTORICAL_MASTER_DISCOVERY,3,2008-04-03,2017-04-18,0001381197-08-000004,0,,,,HISTORICAL_LISTING_IDENTITY_AND_BOUNDARIES,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0131,B014,0000045012,HISTORICAL_MASTER_DISCOVERY,2,2008-07-31,2016-05-04,0000045012-08-000362,0,,,,HISTORICAL_LISTING_IDENTITY_AND_BOUNDARIES,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0132,B014,0001336920,HISTORICAL_MASTER_DISCOVERY,2,2008-08-13,2010-02-19,0001193125-08-176442,0,,,,HISTORICAL_LISTING_IDENTITY_AND_BOUNDARIES,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0133,B014,0000080661,HISTORICAL_MASTER_DISCOVERY,4,2008-09-11,2009-04-15,0001193125-08-194325,0,,,,HISTORICAL_LISTING_IDENTITY_AND_BOUNDARIES,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0134,B014,0000813672,HISTORICAL_MASTER_DISCOVERY,5,2008-10-27,2011-02-02,0000891618-08-000465,0,,,,HISTORICAL_LISTING_IDENTITY_AND_BOUNDARIES,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0135,B014,0001086222,HISTORICAL_MASTER_DISCOVERY,1,2008-11-19,2008-11-19,0001193125-08-239387,0,,,,HISTORICAL_LISTING_IDENTITY_AND_BOUNDARIES,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0136,B014,0000063754,HISTORICAL_MASTER_DISCOVERY,3,2008-11-25,2015-04-20,0001193125-08-243475,0,,,,HISTORICAL_LISTING_IDENTITY_AND_BOUNDARIES,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0137,B014,0000097476,HISTORICAL_MASTER_DISCOVERY,4,2009-01-26,2014-01-21,0001206774-09-000080,0,,,,HISTORICAL_LISTING_IDENTITY_AND_BOUNDARIES,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0138,B014,0000024741,HISTORICAL_MASTER_DISCOVERY,1,2009-01-27,2009-01-27,0000024741-09-000003,0,,,,HISTORICAL_LISTING_IDENTITY_AND_BOUNDARIES,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0139,B014,0000936395,HISTORICAL_MASTER_DISCOVERY,4,2009-03-05,2010-09-09,0001157523-09-001899,0,,,,HISTORICAL_LISTING_IDENTITY_AND_BOUNDARIES,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0140,B014,0000910606,HISTORICAL_MASTER_DISCOVERY,2,2009-03-12,2009-07-17,0001193125-09-052301,0,,,,HISTORICAL_LISTING_IDENTITY_AND_BOUNDARIES,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0141,B015,0000004962,HISTORICAL_MASTER_DISCOVERY,3,2009-05-19,2013-01-10,0000004962-09-000018,0,,,,HISTORICAL_LISTING_IDENTITY_AND_BOUNDARIES,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0142,B015,0000860730,HISTORICAL_MASTER_DISCOVERY,1,2009-08-14,2009-08-14,0000950123-09-035531,0,,,,HISTORICAL_LISTING_IDENTITY_AND_BOUNDARIES,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0143,B015,0000313616,HISTORICAL_MASTER_DISCOVERY,1,2009-09-02,2009-09-02,0001193125-09-185794,0,,,,HISTORICAL_LISTING_IDENTITY_AND_BOUNDARIES,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0144,B015,0001048286,HISTORICAL_MASTER_DISCOVERY,2,2009-09-23,2011-09-09,0001193125-09-196196,0,,,,HISTORICAL_LISTING_IDENTITY_AND_BOUNDARIES,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0145,B015,0001260221,HISTORICAL_MASTER_DISCOVERY,1,2010-02-10,2010-02-10,0001193125-10-026533,0,,,,HISTORICAL_LISTING_IDENTITY_AND_BOUNDARIES,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0146,B015,0001032208,HISTORICAL_MASTER_DISCOVERY,4,2010-09-20,2018-06-28,0000086521-10-000057,0,,,,HISTORICAL_LISTING_IDENTITY_AND_BOUNDARIES,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0147,B015,0000310764,HISTORICAL_MASTER_DISCOVERY,2,2010-12-10,2011-11-10,0000310764-10-000083,0,,,,HISTORICAL_LISTING_IDENTITY_AND_BOUNDARIES,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0148,B015,0000764478,HISTORICAL_MASTER_DISCOVERY,6,2011-02-22,2018-03-01,0001104659-11-008613,0,,,,HISTORICAL_LISTING_IDENTITY_AND_BOUNDARIES,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0149,B015,0001013871,HISTORICAL_MASTER_DISCOVERY,3,2011-04-19,2017-07-13,0001104659-11-020935,0,,,,HISTORICAL_LISTING_IDENTITY_AND_BOUNDARIES,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0150,B015,0000092122,HISTORICAL_MASTER_DISCOVERY,2,2011-07-26,2018-05-21,0000092122-11-000098,0,,,,HISTORICAL_LISTING_IDENTITY_AND_BOUNDARIES,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0151,B016,0001466258,HISTORICAL_MASTER_DISCOVERY,3,2011-10-06,2013-10-18,0001445305-11-002909,0,,,,HISTORICAL_LISTING_IDENTITY_AND_BOUNDARIES,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0152,B016,0001274494,HISTORICAL_MASTER_DISCOVERY,5,2011-12-14,2016-11-16,0001274494-11-000060,0,,,,HISTORICAL_LISTING_IDENTITY_AND_BOUNDARIES,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0153,B016,0000051253,HISTORICAL_MASTER_DISCOVERY,3,2012-01-19,2017-02-15,0001193125-12-017222,0,,,,HISTORICAL_LISTING_IDENTITY_AND_BOUNDARIES,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0154,B016,0001383312,HISTORICAL_MASTER_DISCOVERY,3,2012-03-14,2012-06-06,0001193125-12-114176,0,,,,HISTORICAL_LISTING_IDENTITY_AND_BOUNDARIES,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0155,B016,0000101829,HISTORICAL_MASTER_DISCOVERY,1,2012-03-15,2012-03-15,0001193125-12-117555,0,,,,HISTORICAL_LISTING_IDENTITY_AND_BOUNDARIES,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0156,B016,0000789019,HISTORICAL_MASTER_DISCOVERY,2,2012-07-02,2014-07-17,0001193125-12-292236,0,,,,HISTORICAL_LISTING_IDENTITY_AND_BOUNDARIES,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0157,B016,0000019617,HISTORICAL_MASTER_DISCOVERY,1,2012-07-13,2012-07-13,0001193125-12-301391,0,,,,HISTORICAL_LISTING_IDENTITY_AND_BOUNDARIES,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0158,B016,0000014272,HISTORICAL_MASTER_DISCOVERY,1,2012-08-24,2012-08-24,0001193125-12-367467,0,,,,HISTORICAL_LISTING_IDENTITY_AND_BOUNDARIES,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0159,B016,0000018230,HISTORICAL_MASTER_DISCOVERY,3,2013-01-18,2015-09-24,0000018230-13-000041,0,,,,HISTORICAL_LISTING_IDENTITY_AND_BOUNDARIES,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0160,B016,0001318605,HISTORICAL_MASTER_DISCOVERY,1,2013-03-07,2013-03-07,0001193125-13-096223,0,,,,HISTORICAL_LISTING_IDENTITY_AND_BOUNDARIES,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0161,B017,0000011544,HISTORICAL_MASTER_DISCOVERY,1,2013-04-26,2013-04-26,0001193125-13-177946,0,,,,HISTORICAL_LISTING_IDENTITY_AND_BOUNDARIES,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0162,B017,0000822416,HISTORICAL_MASTER_DISCOVERY,2,2013-06-05,2017-05-08,0000822416-13-000026,0,,,,HISTORICAL_LISTING_IDENTITY_AND_BOUNDARIES,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0163,B017,0001501585,HISTORICAL_MASTER_DISCOVERY,1,2013-09-04,2013-09-04,0001501585-13-000029,0,,,,HISTORICAL_LISTING_IDENTITY_AND_BOUNDARIES,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0164,B017,0000740260,HISTORICAL_MASTER_DISCOVERY,1,2014-07-09,2014-07-09,0001104659-14-050793,0,,,,HISTORICAL_LISTING_IDENTITY_AND_BOUNDARIES,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0165,B017,0000049071,HISTORICAL_MASTER_DISCOVERY,2,2014-09-19,2017-11-29,0001193125-14-347186,0,,,,HISTORICAL_LISTING_IDENTITY_AND_BOUNDARIES,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0166,B017,0000765880,HISTORICAL_MASTER_DISCOVERY,5,2014-12-22,2018-01-05,0001104659-14-088083,0,,,,HISTORICAL_LISTING_IDENTITY_AND_BOUNDARIES,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0167,B017,0001050915,HISTORICAL_MASTER_DISCOVERY,1,2014-12-23,2014-12-23,0001193125-14-452888,0,,,,HISTORICAL_LISTING_IDENTITY_AND_BOUNDARIES,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0168,B017,0001022671,HISTORICAL_MASTER_DISCOVERY,1,2015-01-29,2015-01-29,0001104659-15-005296,0,,,,HISTORICAL_LISTING_IDENTITY_AND_BOUNDARIES,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0169,B017,0000040545,HISTORICAL_MASTER_DISCOVERY,3,2015-04-10,2015-11-30,0000040545-15-000036,0,,,,HISTORICAL_LISTING_IDENTITY_AND_BOUNDARIES,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0170,B017,0000779152,HISTORICAL_MASTER_DISCOVERY,1,2015-05-07,2015-05-07,0000779152-15-000021,0,,,,HISTORICAL_LISTING_IDENTITY_AND_BOUNDARIES,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0171,B018,0001111711,HISTORICAL_MASTER_DISCOVERY,1,2015-07-02,2015-07-02,0001193125-15-243668,0,,,,HISTORICAL_LISTING_IDENTITY_AND_BOUNDARIES,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0172,B018,0000029534,HISTORICAL_MASTER_DISCOVERY,1,2015-10-13,2015-10-13,0001157523-15-003290,0,,,,HISTORICAL_LISTING_IDENTITY_AND_BOUNDARIES,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0173,B018,0000875045,HISTORICAL_MASTER_DISCOVERY,1,2015-10-21,2015-10-21,0000875045-15-000032,0,,,,HISTORICAL_LISTING_IDENTITY_AND_BOUNDARIES,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0174,B018,0001286681,HISTORICAL_MASTER_DISCOVERY,2,2015-10-22,2017-07-25,0001193125-15-350900,0,,,,HISTORICAL_LISTING_IDENTITY_AND_BOUNDARIES,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0175,B018,0001063761,HISTORICAL_MASTER_DISCOVERY,1,2016-01-13,2016-01-13,0001104659-16-089611,0,,,,HISTORICAL_LISTING_IDENTITY_AND_BOUNDARIES,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0176,B018,0000764180,HISTORICAL_MASTER_DISCOVERY,1,2016-01-28,2016-01-28,0000764180-16-000113,0,,,,HISTORICAL_LISTING_IDENTITY_AND_BOUNDARIES,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0177,B018,0000927653,HISTORICAL_MASTER_DISCOVERY,3,2016-02-01,2018-04-25,0001193125-16-445218,0,,,,HISTORICAL_LISTING_IDENTITY_AND_BOUNDARIES,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0178,B018,0000105770,HISTORICAL_MASTER_DISCOVERY,2,2016-02-18,2018-02-15,0000105770-16-000057,0,,,,HISTORICAL_LISTING_IDENTITY_AND_BOUNDARIES,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0179,B018,0000093751,HISTORICAL_MASTER_DISCOVERY,1,2016-03-15,2016-03-15,0000093751-16-000566,0,,,,HISTORICAL_LISTING_IDENTITY_AND_BOUNDARIES,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0180,B018,0000008670,HISTORICAL_MASTER_DISCOVERY,1,2016-07-28,2016-07-28,0001171843-16-011295,0,,,,HISTORICAL_LISTING_IDENTITY_AND_BOUNDARIES,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0181,B019,0000048898,HISTORICAL_MASTER_DISCOVERY,2,2017-01-31,2017-08-03,0001628280-17-000641,0,,,,HISTORICAL_LISTING_IDENTITY_AND_BOUNDARIES,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0182,B019,0001120193,HISTORICAL_MASTER_DISCOVERY,1,2017-01-31,2017-01-31,0001193125-17-024491,0,,,,HISTORICAL_LISTING_IDENTITY_AND_BOUNDARIES,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0183,B019,0000277948,HISTORICAL_MASTER_DISCOVERY,1,2017-02-27,2017-02-27,0001193125-17-059310,0,,,,HISTORICAL_LISTING_IDENTITY_AND_BOUNDARIES,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0184,B019,0000920148,HISTORICAL_MASTER_DISCOVERY,1,2017-04-25,2017-04-25,0000920148-17-000040,0,,,,HISTORICAL_LISTING_IDENTITY_AND_BOUNDARIES,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0185,B019,0000100885,HISTORICAL_MASTER_DISCOVERY,1,2017-08-16,2017-08-16,0000100885-17-000187,0,,,,HISTORICAL_LISTING_IDENTITY_AND_BOUNDARIES,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0186,B019,0001403161,HISTORICAL_MASTER_DISCOVERY,1,2017-09-11,2017-09-11,0001193125-17-281776,0,,,,HISTORICAL_LISTING_IDENTITY_AND_BOUNDARIES,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0187,B019,0001613103,HISTORICAL_MASTER_DISCOVERY,1,2018-01-08,2018-01-08,0001613103-18-000002,0,,,,HISTORICAL_LISTING_IDENTITY_AND_BOUNDARIES,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0188,B019,0000732717,HISTORICAL_MASTER_DISCOVERY,1,2018-04-23,2018-04-23,0001193125-18-126146,0,,,,HISTORICAL_LISTING_IDENTITY_AND_BOUNDARIES,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0189,B019,0000008818,HISTORICAL_MASTER_DISCOVERY,1,2018-04-25,2018-04-25,0001104659-18-026348,0,,,,HISTORICAL_LISTING_IDENTITY_AND_BOUNDARIES,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0190,B019,0000804328,HISTORICAL_MASTER_DISCOVERY,2,2018-06-05,2018-08-01,0001193125-18-184011,0,,,,HISTORICAL_LISTING_IDENTITY_AND_BOUNDARIES,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0191,B020,0001058090,HISTORICAL_MASTER_DISCOVERY,1,2018-06-28,2018-06-28,0001193125-18-206319,0,,,,HISTORICAL_LISTING_IDENTITY_AND_BOUNDARIES,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0192,B020,0000060667,HISTORICAL_MASTER_DISCOVERY,2,2018-08-22,2018-11-05,0001193125-18-254569,0,,,,HISTORICAL_LISTING_IDENTITY_AND_BOUNDARIES,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0193,B020,0001103982,HISTORICAL_MASTER_DISCOVERY,1,2018-09-07,2018-09-07,0001193125-18-268664,0,,,,HISTORICAL_LISTING_IDENTITY_AND_BOUNDARIES,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0194,B020,0001375365,HISTORICAL_MASTER_DISCOVERY,1,2018-11-15,2018-11-15,0001628280-18-014419,0,,,,HISTORICAL_LISTING_IDENTITY_AND_BOUNDARIES,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0195,B020,0000927066,HISTORICAL_MASTER_DISCOVERY,1,2018-12-17,2018-12-17,0001193125-18-350364,0,,,,HISTORICAL_LISTING_IDENTITY_AND_BOUNDARIES,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0196,B020,0001004980,HISTORICAL_MASTER_DISCOVERY,1,2019-01-29,2019-01-29,0001193125-19-019657,0,,,,HISTORICAL_LISTING_IDENTITY_AND_BOUNDARIES,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0197,B020,0001093557,HISTORICAL_MASTER_DISCOVERY,1,2019-02-21,2019-02-21,0001093557-19-000039,0,,,,HISTORICAL_LISTING_IDENTITY_AND_BOUNDARIES,PENDING,NOT_REVIEWED,BLOCKED
PRE2019-0198,B020,0001097149,HISTORICAL_MASTER_DISCOVERY,2,2019-03-05,2019-04-11,0001171843-19-001497,0,,,,HISTORICAL_LISTING_IDENTITY_AND_BOUNDARIES,PENDING,NOT_REVIEWED,BLOCKED
