batch_id,batch_order,review_id,accession_number,cik,filing_date,matched_items,extraction_method,candidate_symbols,source_url,source_sha256,decision,approved_symbol,review_note
B002,1,REVIEW-0001193125-19-237414,0001193125-19-237414,0000087347,2019-09-04,2.06,XBRL_TAG,SLB,https://www.sec.gov/Archives/edgar/data/87347/000119312519237414/d796484d8k.htm,02ef9e26a509bef18de0b2e1ead1ce54a74b038304a79f015536a7f76a8bfe78,VALID,SLB,SEC cover table explicitly lists Schlumberger common stock under trading symbol SLB
B002,2,REVIEW-0001410578-19-001205,0001410578-19-001205,0000033213,2019-09-12,2.05,XBRL_TAG,EQT,https://www.sec.gov/Archives/edgar/data/33213/000141057819001205/tv529302_8k.htm,65c17dfbdb8b90920a278c4ea0d9d70fe74b01e3c5f6c66bb52d19a1da9d7478,VALID,EQT,SEC cover table explicitly lists EQT common stock under trading symbol EQT
B002,3,REVIEW-0000875320-19-000046,0000875320-19-000046,0000875320,2019-09-17,2.04,XBRL_TAG,TD|VRTX,https://www.sec.gov/Archives/edgar/data/875320/000087532019000046/a8-ksep2019creditfacil.htm,a5d250122a43454c1539c0149c09a660ef8872e6809453a861bbdef462d078f2,VALID,VRTX,SEC cover table explicitly lists Vertex common stock under VRTX; TD is extraneous
B002,4,REVIEW-0000037996-19-000071,0000037996-19-000071,0000037996,2019-10-01,2.06,XBRL_TAG,F|FPRB,https://www.sec.gov/Archives/edgar/data/37996/000003799619000071/a8-kdated9x30x2019.htm,6b2e007d20006b1327c7ebecc61a1492e1a9c1ea59728ea2b0e54689756ad2f3,VALID,F,SEC cover table lists Ford common stock as F; FPRB is a listed note
B002,5,REVIEW-0000047217-19-000052,0000047217-19-000052,0000047217,2019-10-04,2.05,VISIBLE_LABEL_REGEX,DIV,https://www.sec.gov/Archives/edgar/data/47217/000004721719000052/sam2019form8-kv3.htm,58cf68f4d366eee410866617c11b87e55915a59e509402b47199aeb43d35ab82,INVALID,,SEC cover table lists HPQ; DIV is an HTML element false positive
B002,6,REVIEW-0001410578-19-001548,0001410578-19-001548,0001091667,2019-10-07,2.04,XBRL_TAG,CHTR|TD,https://www.sec.gov/Archives/edgar/data/1091667/000141057819001548/tv530689_8k.htm,1a3c454f466562f91a5d4d5ec561b66220ba19793cd58a85dd61e014d0e6d487,VALID,CHTR,SEC cover table explicitly lists Charter Class A common stock under CHTR; TD is extraneous
B002,7,REVIEW-0001410578-19-001557,0001410578-19-001557,0000811156,2019-10-07,2.05,XBRL_TAG,CMS|CMS-PB|CMSA|CMSC|CMSD,https://www.sec.gov/Archives/edgar/data/811156/000141057819001557/tv530581_8k.htm,33300ad38eb9e8a8861ef85520086cefd43edff0b1cd9024d616d33efa42c320,VALID,CMS,SEC cover table lists CMS common stock; CMS-PB is preferred and CMSA CMSC CMSD are subordinated notes
B002,8,REVIEW-0001193125-19-269681,0001193125-19-269681,0000087347,2019-10-18,2.06,XBRL_TAG,SLB,https://www.sec.gov/Archives/edgar/data/87347/000119312519269681/d816501d8k.htm,0c8560ef2d5aafa9b2cc0f7c8f623c35f92219e1f77c13785f32cbd18776d844,VALID,SLB,SEC cover table explicitly lists Schlumberger common stock under trading symbol SLB
B002,9,REVIEW-0001104659-19-057468,0001104659-19-057468,0001385157,2019-10-30,2.05,XBRL_TAG,TEL,https://www.sec.gov/Archives/edgar/data/1385157/000110465919057468/tm1920914-1_8k.htm,22ad287f0211931f9bef73aede21eca29169e15c9fcbd7edcb7ef365d38a97d4,VALID,TEL,SEC inline XBRL cover fact explicitly binds TE Connectivity common shares to TEL
B002,10,REVIEW-0001157523-19-002130,0001157523-19-002130,0000024545,2019-10-30,2.05,XBRL_TAG,S|TAP|TAP.A,https://www.sec.gov/Archives/edgar/data/24545/000115752319002130/a52119911.htm,a0a8708ee378fff4befd5136084a4b7e020815f9e581adbd8a118cd392e00c8d,VALID,TAP,SEC cover table lists Class A TAP.A and Class B TAP common stock; approve primary Class B symbol TAP and reject extraneous S
B003,1,REVIEW-0001020569-19-000220,0001020569-19-000220,0001020569,2019-10-31,2.05,XBRL_TAG,IRM|TD,https://www.sec.gov/Archives/edgar/data/1020569/000102056919000220/irm8-kq32019earningsno.htm,13b5004794eeed6c360545853921e559aab8a13ac025f6cf9b6f2b933dfc51c3,VALID,IRM,SEC cover table explicitly lists Iron Mountain common stock under IRM; TD is extraneous
B003,2,REVIEW-0001413329-19-000073,0001413329-19-000073,0001413329,2019-11-04,2.05,XBRL_TAG,PM|PM20|PM20A|PM20B|PM20C|PM21|PM21A|PM21B|PM21C|PM22|PM22A|PM22B|PM22C|PM23|PM23A|PM23B|PM24|PM24A|PM24B|PM24C|PM25|PM25A|PM26|PM26A|PM26B|PM27|PM28|PM29|PM29A|PM31|PM33|PM36|PM37A|PM38|PM39|PM41|PM42|PM42A|PM43|PM43A|PM44|TD,https://www.sec.gov/Archives/edgar/data/1413329/000141332919000073/a2019-11x048xk.htm,cb452b148ec34cb4cb5c0181ebbe9312eb622e6577d5084ea43715d4dcc46394,VALID,PM,SEC cover table lists Philip Morris common stock as PM; remaining PM symbols are listed notes and TD is extraneous
B003,3,REVIEW-0001193125-19-301168,0001193125-19-301168,0001000228,2019-11-26,2.05,XBRL_TAG,HSIC,https://www.sec.gov/Archives/edgar/data/1000228/000119312519301168/d839017d8k.htm,e1f4736a0eda0300c9cb088fdf73238c69fb8e3d1986bdaf32c42cf0416dc0ec,VALID,HSIC,SEC cover table explicitly lists Henry Schein common stock under HSIC
B003,4,REVIEW-0001104659-19-070378,0001104659-19-070378,0000217346,2019-12-06,2.05,XBRL_TAG,TXT,https://www.sec.gov/Archives/edgar/data/217346/000110465919070378/tm1924597-1_8k.htm,29e116c75b3184974a16711eb830562e31aca1b2bfada90d08c5c8be2dff107a,VALID,TXT,SEC cover table explicitly lists Textron common stock under TXT
B003,5,REVIEW-0000093410-19-000040,0000093410-19-000040,0000093410,2019-12-10,2.06,XBRL_TAG,CVX|TD,https://www.sec.gov/Archives/edgar/data/93410/000009341019000040/cvx12102019-8xkdocce.htm,46501ebbae6ddaea7f2524315ddc369ebce9aed7a2322199b8c074d28cb595c8,VALID,CVX,SEC cover table explicitly lists Chevron common stock under CVX; TD is extraneous
B003,6,REVIEW-0001564590-19-046141,0001564590-19-046141,0000106535,2019-12-17,2.06,XBRL_TAG,WY,https://www.sec.gov/Archives/edgar/data/106535/000156459019046141/wy-8k_20191216.htm,f36a9252547bd52c7d881277ee772229b2137e3a320245f30183c7390c10b51c,VALID,WY,SEC cover table explicitly lists Weyerhaeuser common stock under WY
B003,7,REVIEW-0001193125-19-317560,0001193125-19-317560,0001090012,2019-12-18,2.06,XBRL_TAG,DVN,https://www.sec.gov/Archives/edgar/data/1090012/000119312519317560/d842688d8k.htm,b702e93f36ed3455ee297c7fe123f077bbe78ab375e82d433dce792e5ba9914a,VALID,DVN,SEC cover table explicitly lists Devon Energy common stock under DVN
B003,8,REVIEW-0001104659-19-074388,0001104659-19-074388,0000001800,2019-12-19,2.04,XBRL_TAG,ABT,https://www.sec.gov/Archives/edgar/data/1800/000110465919074388/tm1926379-1_8k.htm,a06cfbb5ce0e53bf2cf50517eca865a2cddc0d26cca54d27fcde3714abbb44df,VALID,ABT,SEC cover table explicitly lists Abbott common shares under ABT on NYSE and Chicago Stock Exchange
B003,9,REVIEW-0001243786-20-000002,0001243786-20-000002,0001285785,2020-01-28,2.06,XBRL_TAG,MOS|TD,https://www.sec.gov/Archives/edgar/data/1285785/000124378620000002/a8-kcolonsayidlingandp.htm,ddc5c77a23513afa7990577b16df8c67e5f3ecb6b12447a2bfb79a462dec7def,VALID,MOS,SEC cover table explicitly lists Mosaic common stock under MOS; TD is extraneous
B003,10,REVIEW-0001140859-20-000006,0001140859-20-000006,0001140859,2020-01-30,2.05|2.06,XBRL_TAG,ABC|TD,https://www.sec.gov/Archives/edgar/data/1140859/000114085920000006/a8-kxearningsreleasexq.htm,856f8ae1e14ac27f2b87d885edfac36c5ca4c050316325e3542e78ba2cec485c,VALID,ABC,SEC cover table explicitly lists AmerisourceBergen common stock under ABC; TD is extraneous
B004,1,REVIEW-0000769397-20-000002,0000769397-20-000002,0000769397,2020-02-03,2.04,XBRL_TAG,ADSK|TD,https://www.sec.gov/Archives/edgar/data/769397/000076939720000002/a8-kxfebruary2020item1.htm,d3512ed3c9ae37f7ad2266ce711a2d5ebaf2c2944b90f1b77954825f1a36012d,VALID,ADSK,SEC cover table explicitly lists Autodesk common stock under ADSK; TD is extraneous
B004,2,REVIEW-0001467858-20-000050,0001467858-20-000050,0001467858,2020-02-18,2.05,XBRL_TAG,GM|TD,https://www.sec.gov/Archives/edgar/data/1467858/000146785820000050/a8-k.htm,6117316d31a182350ae1a39d25686fbfe8fe4da9650b87f55b6a0276fdc68f3f,VALID,GM,SEC cover table explicitly lists General Motors common stock under GM; TD is extraneous
B004,3,REVIEW-0001104659-20-023531,0001104659-20-023531,0001091667,2020-02-21,2.04,XBRL_TAG,CHTR|TD,https://www.sec.gov/Archives/edgar/data/1091667/000110465920023531/tm206421-3_8k.htm,8ae6a52a391897491c3b18277c4986976aece6d26b42652033c00576baab3442,VALID,CHTR,SEC cover table explicitly lists Charter Class A common stock under CHTR; TD is extraneous
B004,4,REVIEW-0001324424-20-000012,0001324424-20-000012,0001324424,2020-02-25,2.05,XBRL_TAG,EXPE|EXPE22|TD,https://www.sec.gov/Archives/edgar/data/1324424/000132442420000012/form8-k22520.htm,2f093fce96bfd1a68c5b25d429a4d9f758349538f43dc1521aab1be88ba38ea0,VALID,EXPE,SEC cover table lists Expedia common stock as EXPE; EXPE22 is a senior note and TD is extraneous
B004,5,REVIEW-0001051470-20-000068,0001051470-20-000068,0001051470,2020-02-26,4.02,XBRL_TAG,CCI|CCI.PRA|TD,https://www.sec.gov/Archives/edgar/data/1051470/000105147020000068/q420198-kixbrl.htm,547cb9dd4b083375f4f19fb5ddaf9a98ec7cf87b2b3edf7a2341f4ed20d1887e,VALID,CCI,SEC cover table lists Crown Castle common stock as CCI; CCI.PRA is preferred and TD is extraneous
B004,6,REVIEW-0001104659-20-037363,0001104659-20-037363,0001091667,2020-03-23,2.04,XBRL_TAG,CHTR|TD,https://www.sec.gov/Archives/edgar/data/1091667/000110465920037363/tm209733d3_8k.htm,61dbc222b4258f121db170762fb70bd6cb1ebacd7dff42145833535bc421a5bc,VALID,CHTR,SEC cover table explicitly lists Charter Class A common stock under CHTR; TD is extraneous
B004,7,REVIEW-0001193125-20-102713,0001193125-20-102713,0001097864,2020-04-09,2.05,XBRL_TAG,ON,https://www.sec.gov/Archives/edgar/data/1097864/000119312520102713/d916635d8k.htm,4cc123e763b13f6b9ef8eb27c0b236db6c53e7d56e58687ca9fdfd04e3539024,VALID,ON,SEC cover table explicitly lists ON Semiconductor common stock under ON
B004,8,REVIEW-0000950103-20-007337,0000950103-20-007337,0001701605,2020-04-13,2.05|2.06,XBRL_TAG,BKR|TD,https://www.sec.gov/Archives/edgar/data/1701605/000095010320007337/dp126012_8k.htm,661844c0690a314eda2f3aaec4bf9042e8ec42a92fc7d1aa1ef6673d42abde20,VALID,BKR,SEC cover table explicitly lists Baker Hughes Class A common stock under BKR; TD is extraneous
B004,9,REVIEW-0001193125-20-111531,0001193125-20-111531,0001666700,2020-04-20,2.06,XBRL_TAG,DD,https://www.sec.gov/Archives/edgar/data/1666700/000119312520111531/d917730d8k.htm,7e2d1cddbd9c4df471b7fd89cf49346c6665d0d174de00408cda03a9e2267807,VALID,DD,SEC cover table explicitly lists DuPont common stock under DD
B004,10,REVIEW-0001564590-20-018916,0001564590-20-018916,0000075677,2020-04-28,2.05,XBRL_TAG,PKG|TD,https://www.sec.gov/Archives/edgar/data/75677/000156459020018916/pkg-8k_20200427.htm,b018851e43e569d7719a47cbb966e7f01888672fafb2397e785c569248e756f1,VALID,PKG,SEC cover table explicitly lists Packaging Corporation common stock under PKG; TD is extraneous
B005,1,REVIEW-0001157523-20-000608,0001157523-20-000608,0001116132,2020-04-30,2.05,XBRL_TAG,TD|TPR,https://www.sec.gov/Archives/edgar/data/1116132/000115752320000608/a52212347.htm,bac8f8d12fa13d65e5923e26a9cecf430659d41b8b7b2c379738bf7ce94649b5,PENDING,,
B005,2,REVIEW-0001683168-20-001539,0001683168-20-001539,0000027904,2020-05-14,2.06,XBRL_TAG,DAL|TD,https://www.sec.gov/Archives/edgar/data/27904/000168316820001539/delta_i8k.htm,83e18e9cda95854e2a5f9f7cc6bfa6e58fdafd9349bfe8a452e99c52909dc1f5,PENDING,,
B005,3,REVIEW-0001552781-20-000362,0001552781-20-000362,0001543151,2020-05-18,2.05,XBRL_TAG,TD|UBER,https://www.sec.gov/Archives/edgar/data/1543151/000155278120000362/e20337_uber-8k.htm,b52ad7e2cab06fdaeb4009093729cae1f4818613ceaaed5b33f6b613878ef001,PENDING,,
B005,4,REVIEW-0001193125-20-157932,0001193125-20-157932,0001137789,2020-06-02,2.05,XBRL_TAG,STX,https://www.sec.gov/Archives/edgar/data/1137789/000119312520157932/d894089d8k.htm,3f57091a53f2c268995efd187fd99d7b9ed312b1c06cf219273f98e0e2923b69,PENDING,,
B005,5,REVIEW-0001524472-20-000031,0001524472-20-000031,0001524472,2020-06-03,2.05,XBRL_TAG,TD|XYL|XYL23,https://www.sec.gov/Archives/edgar/data/1524472/000152447220000031/xyl06022020form8-k.htm,0833036cf63d3f2ab498d9f08b9432a51c44963f6f89dc3cb22a16f7d14850a5,PENDING,,
B005,6,REVIEW-0000079879-20-000032,0000079879-20-000032,0000079879,2020-06-08,2.05,XBRL_TAG,PPG|TD,https://www.sec.gov/Archives/edgar/data/79879/000007987920000032/form8-kjune2020restruc.htm,2e8ff6fba95e53f822e72b94fa4275da2091b97ba9b9ea565275f4e17445c00b,PENDING,,
B005,7,REVIEW-0001193125-20-170138,0001193125-20-170138,0000087347,2020-06-16,2.05,XBRL_TAG,SLB,https://www.sec.gov/Archives/edgar/data/87347/000119312520170138/d944136d8k.htm,38f3356ee0b33896786ea45a6a4ddc69c3be381d1749ecf0be27690bbc2f90a7,PENDING,,
B005,8,REVIEW-0001140361-20-014081,0001140361-20-014081,0001283699,2020-06-17,2.06,XBRL_TAG,TMUS,https://www.sec.gov/Archives/edgar/data/1283699/000114036120014081/nc10012662x1_8k.htm,830c73495dbca2b4346d79a445f57eb372fa38c2f73c113882b1e44c2971c55e,PENDING,,
B005,9,REVIEW-0001552781-20-000398,0001552781-20-000398,0000217346,2020-06-18,2.05|2.06,XBRL_TAG,TD|TXT,https://www.sec.gov/Archives/edgar/data/217346/000155278120000398/e20404_txt-8k.htm,b4c41b354fc24ccd1437520d15503ccd333c325ddb5edfc0fe9ae4a6972a75c3,PENDING,,
B005,10,REVIEW-0001193125-20-174218,0001193125-20-174218,0001048911,2020-06-19,2.06,XBRL_TAG,FDX,https://www.sec.gov/Archives/edgar/data/1048911/000119312520174218/d949507d8k.htm,53105b36ff3160243f9e31142b7784d06fc7da017a4071db7b2a5c76541b09ba,PENDING,,
B006,1,REVIEW-0000874761-20-000044,0000874761-20-000044,0000874761,2020-06-23,2.06,XBRL_TAG,AES|TD,https://www.sec.gov/Archives/edgar/data/874761/000087476120000044/a8-kjune2020.htm,6fe2c65717546b238968232aa7c0b7064a722534089a1f83e8793b59ed95e707,PENDING,,
B006,2,REVIEW-0001193125-20-177094,0001193125-20-177094,0001609711,2020-06-24,2.05|2.06,XBRL_TAG,GDDY,https://www.sec.gov/Archives/edgar/data/1609711/000119312520177094/d934654d8k.htm,f55c3594308b8fd39dafb17a38e305b4caf7389c5c79aa7e0e79462cb9e81e33,PENDING,,
B006,3,REVIEW-0001104659-20-077745,0001104659-20-077745,0000895126,2020-06-29,2.04,XBRL_TAG,CHK|TD,https://www.sec.gov/Archives/edgar/data/895126/000110465920077745/tm2023599-1_8k.htm,eb053a373f371c6b3e9d075498af34ac07f175042e5b7150a9def15dd41dab48,PENDING,,
B006,4,REVIEW-0001104659-20-080869,0001104659-20-080869,0001326160,2020-07-06,2.06,XBRL_TAG,DUK|DUKB|DUKH,https://www.sec.gov/Archives/edgar/data/1326160/000110465920080869/tm2024036-1_8k.htm,2144538ce5058aa7ae5060a6d3de76566b6f7fba452a1202c3c22bda7c243e5b,PENDING,,
B006,5,REVIEW-0001193125-20-187846,0001193125-20-187846,0000715957,2020-07-06,2.06,XBRL_TAG,D|DCUE|DRUA,https://www.sec.gov/Archives/edgar/data/715957/000119312520187846/d936820d8k.htm,235ccc0e8f851475aefba78fd64ff26bdc3884c7dca091e278ceeb66327f61df,PENDING,,
B006,6,REVIEW-0001104659-20-082123,0001104659-20-082123,0000100517,2020-07-08,2.05,XBRL_TAG,UAL,https://www.sec.gov/Archives/edgar/data/100517/000110465920082123/tm2024375-1_8k.htm,50dc52081c0050742764d2110050acb77270c6d5d66d13c9bdc45fb82a8ef417,PENDING,,
B006,7,REVIEW-0001104659-20-083132,0001104659-20-083132,0001091667,2020-07-13,2.04,XBRL_TAG,CHTR|TD,https://www.sec.gov/Archives/edgar/data/1091667/000110465920083132/tm2023618-7_8k.htm,eeca809b3f75b1459a8cdbc8ae7517c316cb426b5e3deb2da6d67f2787bae3fa,PENDING,,
B006,8,REVIEW-0001104659-20-083610,0001104659-20-083610,0000823768,2020-07-15,2.04,XBRL_TAG,WM,https://www.sec.gov/Archives/edgar/data/823768/000110465920083610/tm2024786d1_8k.htm,e62f1d9e9403598c007ac753f1950d530959ef7d8de4c34db419054aa90656f1,PENDING,,
B006,9,REVIEW-0001104659-20-087372,0001104659-20-087372,0001091667,2020-07-28,2.04,XBRL_TAG,CHTR|TD,https://www.sec.gov/Archives/edgar/data/1091667/000110465920087372/tm2025145d2_8k.htm,eaf8f4bfc173e89c6368565320492312233374fc06d9772e881e599a1d9bd997,PENDING,,
B006,10,REVIEW-0001564590-20-033955,0001564590-20-033955,0000075677,2020-07-28,2.06,XBRL_TAG,PKG|TD,https://www.sec.gov/Archives/edgar/data/75677/000156459020033955/pkg-8k_20200724.htm,e08f437f5ba5a7a9de7496b40eefce7d6ff4e87b07f4b06453429e32ac4e7125,PENDING,,
B007,1,REVIEW-0000815097-20-000066,0000815097-20-000066,0000815097,2020-07-29,2.06,XBRL_TAG,CCL|CCL21|CUK|CUK22|CUK29|TD,https://www.sec.gov/Archives/edgar/data/815097/000081509720000066/ccl-20200729.htm,26d62c3791505de7c1070a0b95a735ff8dde50d2032d1f27f527a6eaff164298,PENDING,,
B007,2,REVIEW-0001075531-20-000042,0001075531-20-000042,0001075531,2020-08-04,2.05,XBRL_TAG,BKNG|TD,https://www.sec.gov/Archives/edgar/data/1075531/000107553120000042/bkng-20200804.htm,2c84c52883be508e97fbb53fe6235df896cb295093e0f386d3700dc1f0e0a9d2,PENDING,,
B007,3,REVIEW-0001609711-20-000109,0001609711-20-000109,0001609711,2020-08-06,2.05,XBRL_TAG,GDDY|TD,https://www.sec.gov/Archives/edgar/data/1609711/000160971120000109/gddy-20200622.htm,262245e7d005502cd594c0c58a24388ffb4f314ca333328f50440a0166bfdfb1,PENDING,,
B007,4,REVIEW-0001193125-20-217658,0001193125-20-217658,0000858877,2020-08-12,2.05,XBRL_TAG,CSCO,https://www.sec.gov/Archives/edgar/data/858877/000119312520217658/d50157d8k.htm,d0ad9e4b4de3365088f3538dfbba95d650182bb83829741ad0d1225650c2d7ee,PENDING,,
B007,5,REVIEW-0001157523-20-001178,0001157523-20-001178,0001116132,2020-08-13,2.05,XBRL_TAG,TD|TPR,https://www.sec.gov/Archives/edgar/data/1116132/000115752320001178/a52265820.htm,6c44ccf2e241ef2d6c897699025eb1bf8d8aecdad2cd78c8dc40bc03f42ca653,PENDING,,
B007,6,REVIEW-0001001250-20-000054,0001001250-20-000054,0001001250,2020-08-20,2.05,XBRL_TAG,EL|TD,https://www.sec.gov/Archives/edgar/data/1001250/000100125020000054/el-20200818.htm,4a82c23138e8c501368b907c0ddf30caa768f5833510adf92eafd4c750aa4ebc,PENDING,,
B007,7,REVIEW-0001109357-20-000169,0001109357-20-000169,0001109357,2020-08-21,2.05|2.06,XBRL_TAG,EXC|TD,https://www.sec.gov/Archives/edgar/data/1109357/000110935720000169/exc-20200820.htm,d2b59a1356b61a5446d9f2a02f8b8442140f87fbb374f9a40c7aee471d53133c,PENDING,,
B007,8,REVIEW-0001564590-20-041346,0001564590-20-041346,0001002047,2020-08-26,2.05,XBRL_TAG,NTAP,https://www.sec.gov/Archives/edgar/data/1002047/000156459020041346/ntap-8k_20200821.htm,2d9aaeea77de809fa730f41ec8177da1b622fe04a4b61d2c612bb88a6941c22f,PENDING,,
B007,9,REVIEW-0001109357-20-000174,0001109357-20-000174,0001109357,2020-08-27,2.05,XBRL_TAG,EXC|TD,https://www.sec.gov/Archives/edgar/data/1109357/000110935720000174/exc-20200827.htm,65e1720db268d4ea617ad93017e3174fbd14c97925cf60c09ec96a2a4a70537c,PENDING,,
B007,10,REVIEW-0001552781-20-000463,0001552781-20-000463,0000021344,2020-08-28,2.05,XBRL_TAG,KO|KO21B|KO21C|KO22|KO22B|KO23B|KO24|KO26|KO26C|KO27|KO31|KO35|KO36|TD,https://www.sec.gov/Archives/edgar/data/21344/000155278120000463/e20478_ko-8k.htm,b6c32c4765708de0159ab7ead12ca6ee0dcd4b549b8a0e381a2101d8b86f3703,PENDING,,
B008,1,REVIEW-0001104659-20-101912,0001104659-20-101912,0000100517,2020-09-02,2.05,XBRL_TAG,UAL,https://www.sec.gov/Archives/edgar/data/100517/000110465920101912/tm2030112-1_8ka.htm,6c7a301e143984dab27ced0f6c88e86013e27e978799c71f53cd31cc4759e2c6,PENDING,,
B008,2,REVIEW-0001075531-20-000054,0001075531-20-000054,0001075531,2020-09-10,2.05,XBRL_TAG,BKNG|TD,https://www.sec.gov/Archives/edgar/data/1075531/000107553120000054/bkng-20200804.htm,4fb4103605e8f69a2682ada3ec8860fe8663a979a149c38decd92c121f58cb15,PENDING,,
B008,3,REVIEW-0001193125-20-247156,0001193125-20-247156,0000814547,2020-09-16,2.05,XBRL_TAG,FICO,https://www.sec.gov/Archives/edgar/data/814547/000119312520247156/d939437d8k.htm,13e92cdcacb4b2e7a4e32404317549a26da86fb8c5206bd56bc6edac8691941b,PENDING,,
B008,4,REVIEW-0000950142-20-002295,0000950142-20-002295,0001037038,2020-09-22,2.05,XBRL_TAG,RL|TD,https://www.sec.gov/Archives/edgar/data/1037038/000095014220002295/eh200101603_8k.htm,78b62fef3cebad1e4376f4ee8b7204cce0c509110ed609215a65f2ef67428f9f,PENDING,,
B008,5,REVIEW-0001683168-20-003281,0001683168-20-003281,0000027904,2020-09-25,2.06,XBRL_TAG,DAL|TD,https://www.sec.gov/Archives/edgar/data/27904/000168316820003281/delta_i8k.htm,2d41457d0eafe38ff3cd5cd8dd31801f127547de6f2750414046729e9ec53967,PENDING,,
B008,6,REVIEW-0000874761-20-000056,0000874761-20-000056,0000874761,2020-09-29,2.06,XBRL_TAG,AES|TD,https://www.sec.gov/Archives/edgar/data/874761/000087476120000056/aes-20200923.htm,039cf9ba89839d69f495ee964b7cf08395d874a93fa957c45ce320926369ea9a,PENDING,,
B008,7,REVIEW-0000899051-20-000066,0000899051-20-000066,0000899051,2020-09-30,2.05,XBRL_TAG,ALL|ALL.PR.B|S,https://www.sec.gov/Archives/edgar/data/899051/000089905120000066/all-20200930.htm,e456603722cf3c79f9621cddd4d824d5c6772f0d53a4c3df40df62b961f30065,PENDING,,
B008,8,REVIEW-0001510295-20-000098,0001510295-20-000098,0001510295,2020-09-30,2.05,XBRL_TAG,MPC,https://www.sec.gov/Archives/edgar/data/1510295/000151029520000098/mpcform8-k9292020.htm,cc893134f5c9f77cb38121b1bcc3803d21d49f28350d982a3fd0444780cb01bc,PENDING,,
