ticker,cik,company,mapped_security_intervals,observed_security_quarters,interval_quarters,interval_coverage,status
VZ,0000732712,Verizon,1,80,157,0.509554,MAPPED
WAB,0000943452,Wabtec,1,74,77,0.961039,MAPPED
WAT,0001000697,Waters Corporation,1,78,78,1.0,MAPPED
WBD,0001437107,Warner Bros. Discovery,3,69,69,1.0,MAPPED
WDC,0000106040,Western Digital,1,78,78,1.0,MAPPED
WEC,0000783325,WEC Energy Group,2,79,79,1.0,MAPPED
WELL,0000766704,Welltower,2,74,91,0.813187,MAPPED
WFC,0000072971,Wells Fargo,1,79,79,1.0,MAPPED
WM,0000823768,Waste Management,1,78,78,1.0,MAPPED
WMB,0000107263,Williams Companies,1,79,79,1.0,MAPPED
WMT,0000104169,Walmart,1,78,157,0.496815,MAPPED
WRB,0000011544,W. R. Berkley Corporation,1,63,157,0.401274,MAPPED
WSM,0000719955,"Williams-Sonoma, Inc.",1,68,78,0.871795,MAPPED
WST,0000105770,West Pharmaceutical Services,2,74,78,0.948718,MAPPED
WTW,0001140536,Willis Towers Watson,2,50,52,0.961538,MAPPED
WY,0000106535,Weyerhaeuser,1,79,79,1.0,MAPPED
WYNN,0001174922,Wynn Resorts,1,78,78,1.0,MAPPED
XEL,0000072903,Xcel Energy,1,70,79,0.886076,MAPPED
XOM,0000034088,ExxonMobil,1,80,157,0.509554,MAPPED
XYL,0001524472,Xylem Inc.,1,58,58,1.0,MAPPED
YUM,0001041061,Yum! Brands,1,78,78,1.0,MAPPED
ZBH,0001136869,Zimmer Biomet,1,69,69,1.0,MAPPED
ZBRA,0000877212,Zebra Technologies,1,66,69,0.956522,MAPPED
