sample_id,stratum,first_event_amendment,accession_number,manager_cik,manager_name,report_period,filing_date,conservative_availability_date,submission_type,amendment_type,amendment_operation,amendment_usable,ticker,issuer_cik,cusip,expected_issuer_names,expected_class_titles,expected_reported_value,expected_reported_shares,expected_investment_discretions,expected_voting_sole,expected_voting_shared,expected_voting_none,source_url,source_sha256,source_bytes,acceptance_datetime,exact_availability_date,validation_status,mismatch_fields,validation_error
13FSR-0012,ADD_NEW_HOLDINGS_FROM_AVAILABILITY__E4_2023_2026,false,0000905148-24-002778,0001831577,"Jump Financial, LLC",2023-06-30,2024-10-21,2024-10-22,13F-HR/A,NEW HOLDINGS,ADD_NEW_HOLDINGS_FROM_AVAILABILITY,1,CVS,0000064803,126650100,CVS HEALTH CORP,COM,829560,12000,SOLE,12000,0,0,https://www.sec.gov/Archives/edgar/data/1831577/000090514824002778/0000905148-24-002778.txt,16cfecbfb9e8619b036b3b1088d6522a0f72b051aabeb7e55a01536b3bbf3316,41102,2024-10-21T17:07:02Z,2024-10-22,VALID,,
13FSR-0013,REPLACE_SNAPSHOT_FROM_AVAILABILITY__E4_2023_2026,false,0000905148-26-002054,0001694217,"DZ BANK AG Deutsche Zentral Genossenschafts Bank, Frankfurt am Main",2024-06-30,2026-05-04,2026-05-05,13F-HR/A,RESTATEMENT,REPLACE_SNAPSHOT_FROM_AVAILABILITY,1,NI,0001111711,65473P105,NISOURCE INC,COM,1403133,48703,DFND,48703,0,0,https://www.sec.gov/Archives/edgar/data/1694217/000090514826002054/0000905148-26-002054.txt,fa006dcb117a7cd4e9309885d892f7c9205b952207cbd6f98d78ede8f3e31b8e,1253903,2026-05-04T16:02:33Z,2026-05-05,VALID,,
13FSR-0014,INITIAL_SNAPSHOT__E1_2013_2016,false,0000909012-15-000313,0001567784,"Carroll Financial Associates, Inc.",2015-09-30,2015-10-28,2015-10-29,13F-HR,,INITIAL_SNAPSHOT,1,PEG,0000788784,744573106,PUBLIC SVC ENTERPRISE GROUP COM,Stock,4,96,SOLE,0,0,0,https://www.sec.gov/Archives/edgar/data/1567784/000090901215000313/0000909012-15-000313.txt,f42a76849c71011505f952b9e0d4d98f3bd3a69151e5bab1988dd7688bb70469,562375,2015-10-28T10:12:33Z,2015-10-29,VALID,,
13FSR-0015,INITIAL_SNAPSHOT__E1_2013_2016,false,0000917579-13-000005,0000917579,KESTREL INVESTMENT MANAGEMENT CORP,2013-09-30,2013-11-14,2013-11-15,13F-HR,,INITIAL_SNAPSHOT,1,HII,0001501585,446413106,Huntington Ingalls Ind,COM,34957,518650,SOLE,505750,0,12900,https://www.sec.gov/Archives/edgar/data/917579/000091757913000005/0000917579-13-000005.txt,937fb38eacb6de2a55f342c13ec72c3e71243ccfd223566bca048ce429974849,33455,2013-11-13T17:53:35Z,2013-11-14,VALID,,
13FSR-0016,EXCLUDE_UNKNOWN_AMENDMENT_SEMANTICS__E1_2013_2016,false,0000919185-16-000018,0000919185,HIGHBRIDGE CAPITAL MANAGEMENT LLC,2015-12-31,2016-02-23,2016-02-24,13F-HR/A,,EXCLUDE_UNKNOWN_AMENDMENT_SEMANTICS,0,META,0001326801,30303M102,FACEBOOK INC,COMMON,2515,24030,DFND,24030,0,0,https://www.sec.gov/Archives/edgar/data/919185/000091918516000018/0000919185-16-000018.txt,d283c9bfc982e6630bc0b62ec4191ee8211a316bff6022c12eeb1f46b27dac78,734688,2016-02-22T18:29:29Z,2016-02-23,VALID,,
13FSR-0017,INITIAL_SNAPSHOT__E4_2023_2026,false,0000919530-25-000006,0000919530,JOHN G ULLMAN & ASSOCIATES INC,2025-09-30,2025-11-05,2025-11-06,13F-HR,,INITIAL_SNAPSHOT,1,EA,0000712515,285512109,ELECTRONIC ARTS INC,COM,4270997,21175,SOLE,0,0,21175,https://www.sec.gov/Archives/edgar/data/919530/000091953025000006/0000919530-25-000006.txt,4a8697ff019291e0947e4c1af48c20624159236da9be4795428b38ecedcc95bb,77055,2025-11-05T11:10:20Z,2025-11-06,VALID,,
13FSR-0018,REPLACE_SNAPSHOT_FROM_AVAILABILITY__E1_2013_2016,false,0000919574-13-007040,0001353316,"Hound Partners, LLC",2013-09-30,2013-12-30,2013-12-31,13F-HR/A,RESTATEMENT,REPLACE_SNAPSHOT_FROM_AVAILABILITY,1,DVA,0000927066,23918K108,DAVITA HEALTHCARE PARTNERS I,COM,62880,1105088,DFND,1105088,0,0,https://www.sec.gov/Archives/edgar/data/1353316/000091957413007040/0000919574-13-007040.txt,4aa9b9828602fd5f07f492293fd16714190fb354d1c2eb397eacd9add42e9ffd,14865,2013-12-30T16:18:43Z,2013-12-31,VALID,,
13FSR-0019,INITIAL_SNAPSHOT__E2_2017_2020,false,0000919574-18-005511,0001388551,CAXTON CORP,2018-06-30,2018-08-14,2018-08-15,13F-HR,,INITIAL_SNAPSHOT,1,PCG,0001004980,69331C108,PG&E CORP,COM,958,22500,SOLE,22500,0,0,https://www.sec.gov/Archives/edgar/data/1388551/000091957418005511/0000919574-18-005511.txt,5d9b827de446ed39820921c2fd5346163ea50f15c343651fa8aac3e405e52f12,15134,2018-08-14T10:35:52Z,2018-08-15,VALID,,
13FSR-0020,INITIAL_SNAPSHOT__E3_2021_2022,false,0000919574-22-004853,0001633362,"Simcoe Capital Management, LLC",2022-06-30,2022-08-15,2022-08-16,13F-HR,,INITIAL_SNAPSHOT,1,JBL,0000898293,466313103,JABIL INC,COM,59223,1156480,DFND|SOLE,1156480,0,0,https://www.sec.gov/Archives/edgar/data/1633362/000091957422004853/0000919574-22-004853.txt,eda7b6b38140f7a64b38439d825c41b8f90f10cad6323ee8bbde7ffd2445e838,15048,2022-08-12T17:45:55Z,2022-08-15,VALID,,
13FSR-0021,INITIAL_SNAPSHOT__E1_2013_2016,false,0000930413-16-007027,0000939222,TEACHERS ADVISORS INC,2016-03-31,2016-05-06,2016-05-09,13F-HR,,INITIAL_SNAPSHOT,1,XOM,0000034088,30231G102,Exxon Mobil Corp,CS,515500,6167009,DFND,6167009,0,0,https://www.sec.gov/Archives/edgar/data/939222/000093041316007027/0000930413-16-007027.txt,fba5d555b08ba6a4d9e0ae0724c39dc50fe281554576fb6460463e320077a1ec,1397611,2016-05-06T15:01:00Z,2016-05-09,VALID,,
13FSR-0022,REPLACE_SNAPSHOT_FROM_AVAILABILITY__E4_2023_2026,true,0000946629-25-000002,0000946629,"LEIGH BALDWIN & CO., LLC",2024-12-31,2025-02-25,2025-02-26,13F-HR/A,RESTATEMENT,REPLACE_SNAPSHOT_FROM_AVAILABILITY,1,COST,0000909832,22160K105,COSTCO WHSL CORP NEW,COM,982109,1072,SOLE,0,0,0,https://www.sec.gov/Archives/edgar/data/946629/000094662925000002/0000946629-25-000002.txt,93c4fbff4f8243b97eef08b7d284ab3a87c2a8729ee0541c030c4e12a64f023c,88316,2025-02-25T13:42:56Z,2025-02-26,VALID,,
13FSR-0023,INITIAL_SNAPSHOT__E1_2013_2016,false,0000950103-16-013369,0001332632,CHILTON INVESTMENT CO LLC,2016-03-31,2016-05-16,2016-05-17,13F-HR,,INITIAL_SNAPSHOT,1,TMO,0000097745,883556102,THERMO FISHER SCIENTIFIC INC,COMMON STOCK,61371,433442,DFND|OTR,421711,0,11731,https://www.sec.gov/Archives/edgar/data/1332632/000095010316013369/0000950103-16-013369.txt,4f23a522e5ca9377e7506af5f84793f716c75590abf6312d1f9b2c4552633a51,74987,2016-05-16T15:23:37Z,2016-05-17,VALID,,
13FSR-0024,EXCLUDE_UNKNOWN_AMENDMENT_SEMANTICS__E1_2013_2016,false,0000950123-13-007218,0001352924,Caledonia (Private) Investments Pty Ltd,2013-06-30,2013-08-26,2013-08-27,13F-HR/A,,EXCLUDE_UNKNOWN_AMENDMENT_SEMANTICS,0,CL,0000021665,194162103,COLGATE PALMOLIVE CO,COM,53834,939678,SOLE,939678,0,0,https://www.sec.gov/Archives/edgar/data/1352924/000095012313007218/0000950123-13-007218.txt,2bfb05ca47bd726d2034905d3b4c18cce9666a465d2bd043c28a3113f58a5733,6833,2013-08-26T14:51:32Z,2013-08-27,VALID,,
13FSR-0025,REPLACE_SNAPSHOT_FROM_AVAILABILITY__E1_2013_2016,false,0000950123-14-002870,0001449434,"Apollo Management Holdings, L.P.",2013-12-31,2014-02-25,2014-02-26,13F-HR/A,RESTATEMENT,REPLACE_SNAPSHOT_FROM_AVAILABILITY,1,DAL,0000027904,247361702,Delta Air Lines Inc Del,COM NEW,617,22446,DFND,0,22446,0,https://www.sec.gov/Archives/edgar/data/1449434/000095012314002870/0000950123-14-002870.txt,75337cb361950b080daec513c3db042d65a8597ee2284d4dbd38b96ec02eeddc,31753,2014-02-25T16:31:58Z,2014-02-26,VALID,,
13FSR-0026,INITIAL_SNAPSHOT__E1_2013_2016,false,0000950123-14-007197,0001365707,"CONTRAVISORY INVESTMENT MANAGEMENT, INC.",2014-06-30,2014-07-17,2014-07-18,13F-HR,,INITIAL_SNAPSHOT,1,T,0000732717,00206R102,"A T & T, Inc.",com,11,309,SOLE,11,0,0,https://www.sec.gov/Archives/edgar/data/1365707/000095012314007197/0000950123-14-007197.txt,93c6a2e2e46cd2568e381c21be0c14cff1648498b9d3d8f272f8beeab382b59c,78462,2014-07-17T10:53:42Z,2014-07-18,VALID,,
13FSR-0027,EXCLUDE_UNKNOWN_AMENDMENT_SEMANTICS__E1_2013_2016,false,0000950123-14-007975,0000320335,Torchmark Corp,2014-06-30,2014-08-07,2014-08-08,13F-HR/A,,EXCLUDE_UNKNOWN_AMENDMENT_SEMANTICS,0,IBM,0000051143,459200101,IBM Corp.,Common Stock,12616,69600,SOLE,69600,0,0,https://www.sec.gov/Archives/edgar/data/320335/000095012314007975/0000950123-14-007975.txt,ae340369eca13ec252f3cebb88f24fb748190a1d61ceda1f57e8801b37e02698,16625,2014-08-07T16:48:05Z,2014-08-08,VALID,,
13FSR-0028,ADD_NEW_HOLDINGS_FROM_AVAILABILITY__E1_2013_2016,false,0000950123-15-009877,0001535323,Allianz Asset Management AG,2015-06-30,2015-09-22,2015-09-23,13F-HR/A,NEW HOLDINGS,ADD_NEW_HOLDINGS_FROM_AVAILABILITY,1,ODFL,0000878927,679580100,OLD DOMINION FGHT LINES INC,COM,4371,63463,DFND,0,0,63463,https://www.sec.gov/Archives/edgar/data/1535323/000095012315009877/0000950123-15-009877.txt,09eefdd180ef1b407deec3c28c9672a3d6f864c1aba2be81cfcd88d5253298b9,75292,2015-09-21T19:03:17Z,2015-09-22,VALID,,
13FSR-0029,REPLACE_SNAPSHOT_FROM_AVAILABILITY__E1_2013_2016,false,0000950123-15-010952,0001540138,Smith Affiliated Capital Corp.,2014-09-30,2015-11-06,2015-11-09,13F-HR/A,RESTATEMENT,REPLACE_SNAPSHOT_FROM_AVAILABILITY,1,JCI,0000833444,00101J106,THE ADT CORPORATION,A-Shares,19893,561,SOLE,0,0,561,https://www.sec.gov/Archives/edgar/data/1540138/000095012315010952/0000950123-15-010952.txt,2ec00d3884770992e0c5c124cd2239b5d43943db4ec401dc139900b419181db9,63006,2015-11-06T16:09:12Z,2015-11-09,VALID,,
13FSR-0030,ADD_NEW_HOLDINGS_FROM_AVAILABILITY__E1_2013_2016,false,0000950123-15-011055,0001423053,CITADEL ADVISORS LLC,2015-06-30,2015-11-09,2015-11-10,13F-HR/A,NEW HOLDINGS,ADD_NEW_HOLDINGS_FROM_AVAILABILITY,1,WMB,0000107263,969457100,WILLIAMS COMPANIES COMMON STOCK,Cmn,1632,28434,DFND,28434,0,0,https://www.sec.gov/Archives/edgar/data/1423053/000095012315011055/0000950123-15-011055.txt,0fbf5a33567aa135a293406fbb2c74438c18799986ab3a9c440368ffa8e306be,7270,2015-11-09T17:16:12Z,2015-11-10,VALID,,
13FSR-0031,REPLACE_SNAPSHOT_FROM_AVAILABILITY__E2_2017_2020,false,0000950123-17-003732,0001068855,"Asset Management One Co., Ltd.",2016-12-31,2017-05-02,2017-05-03,13F-HR/A,RESTATEMENT,REPLACE_SNAPSHOT_FROM_AVAILABILITY,1,BAC,0000070858,060505104,BANK AMER CORP|BANK OF AMERICA CORP,COM,392124,17749600,OTR|SOLE,17749600,0,0,https://www.sec.gov/Archives/edgar/data/1068855/000095012317003732/0000950123-17-003732.txt,1002784b49eea5db3d6b71f497a428e6a7aa91a24de311e502c86d129a17ef01,620101,2017-05-02T06:27:02Z,2017-05-03,VALID,,
13FSR-0032,INITIAL_SNAPSHOT__E2_2017_2020,false,0000950123-20-001589,0000904163,AMERICAN NATIONAL INSURANCE CO,2019-12-31,2020-02-12,2020-02-13,13F-HR,,INITIAL_SNAPSHOT,1,DLR,0001297996,253868103,Digital Realty,COM,718,6000,SOLE,6000,0,0,https://www.sec.gov/Archives/edgar/data/904163/000095012320001589/0000950123-20-001589.txt,ba37ae90a7188bf35fdfe892149f1753e1555956fe73c40058e8dee7674bb271,169954,2020-02-12T10:26:54Z,2020-02-13,VALID,,
13FSR-0033,ADD_NEW_HOLDINGS_FROM_AVAILABILITY__E4_2023_2026,false,0000950123-24-005917,0001535323,Allianz Asset Management GmbH,2020-12-31,2024-05-23,2024-05-24,13F-HR/A,NEW HOLDINGS,ADD_NEW_HOLDINGS_FROM_AVAILABILITY,1,STX,0001137789,G7945M107,SEAGATE TECHNOLOGY PLC,SHS,1200869,19319,DFND,19319,0,0,https://www.sec.gov/Archives/edgar/data/1535323/000095012324005917/0000950123-24-005917.txt,22c44b645978db4762f902f9f0ed18b7c169e51615280af47917c27231cf8588,7109,2024-05-23T14:56:48Z,2024-05-24,VALID,,
13FSR-0034,ADD_NEW_HOLDINGS_FROM_AVAILABILITY__E4_2023_2026,false,0000950123-24-005982,0001535323,Allianz Asset Management GmbH,2021-03-31,2024-05-23,2024-05-24,13F-HR/A,NEW HOLDINGS,ADD_NEW_HOLDINGS_FROM_AVAILABILITY,1,IVZ,0000914208,G491BT108,INVESCO LTD,SHS,1850467,73373,DFND,73373,0,0,https://www.sec.gov/Archives/edgar/data/1535323/000095012324005982/0000950123-24-005982.txt,7714f619fc1fdc9d31e74f83be5f7c672bb3b26f676447090c086add661f9a4e,7593,2024-05-23T16:18:48Z,2024-05-24,VALID,,
13FSR-0035,REPLACE_SNAPSHOT_FROM_AVAILABILITY__E3_2021_2022,false,0001005607-21-000009,0001005607,"OSBORNE PARTNERS CAPITAL MANAGEMENT, LLC",2021-03-31,2021-08-09,2021-08-10,13F-HR/A,RESTATEMENT,REPLACE_SNAPSHOT_FROM_AVAILABILITY,1,BAC,0000070858,060505104,BK OF AMERICA CORP,COM,675,17450,SOLE,0,0,17450,https://www.sec.gov/Archives/edgar/data/1005607/000100560721000009/0001005607-21-000009.txt,d1d055a4856a8aec762ac9b970d25f296922dfb23924ddffd0803d876083cd21,98566,2021-08-06T18:30:39Z,2021-08-09,VALID,,
13FSR-0036,INITIAL_SNAPSHOT__E4_2023_2026,false,0001008895-23-000003,0001008895,SCHMIDT P J INVESTMENT MANAGEMENT INC,2023-06-30,2023-07-26,2023-07-27,13F-HR,,INITIAL_SNAPSHOT,1,SJM,0000091419,832696405,SMUCKER J M CO,COM NEW,309173,2021,SOLE,0,0,2021,https://www.sec.gov/Archives/edgar/data/1008895/000100889523000003/0001008895-23-000003.txt,379e72da79766a821a423b7fd9b7e02d05ff5a97fc4cf0777bc8274c3773211c,87531,2023-07-26T11:32:13Z,2023-07-27,VALID,,
13FSR-0037,ADD_NEW_HOLDINGS_FROM_AVAILABILITY__E2_2017_2020,false,0001009022-19-000004,0001009022,INVESTMENT MANAGEMENT OF VIRGINIA LLC,2019-03-31,2019-05-02,2019-05-03,13F-HR/A,NEW HOLDINGS,ADD_NEW_HOLDINGS_FROM_AVAILABILITY,1,TFC,0000092230,054937107,BB&T Corp.,COM,2559,55002,OTR|SOLE,48088,0,6914,https://www.sec.gov/Archives/edgar/data/1009022/000100902219000004/0001009022-19-000004.txt,eeaf4d6ffcdf81403a83ca81293f0b555c93403e1ffb36e501d3a54984bdf270,102564,2019-05-02T14:39:57Z,2019-05-03,VALID,,
13FSR-0038,INITIAL_SNAPSHOT__E1_2013_2016,false,0001013228-14-002657,0001297376,"Advisors Asset Management, Inc.",2014-09-30,2014-11-13,2014-11-14,13F-HR,,INITIAL_SNAPSHOT,1,GPN,0001123360,37940X102,GLOBAL PMTS INC,COM,299,4283,SOLE,4283,0,0,https://www.sec.gov/Archives/edgar/data/1297376/000101322814002657/0001013228-14-002657.txt,727dbfd12af4c17c8d92d4bdc34a33b2d6254950b4560075996469f0bd62e3fe,752588,2014-11-13T10:39:03Z,2014-11-14,VALID,,
13FSR-0039,INITIAL_SNAPSHOT__E4_2023_2026,false,0001056973-25-000017,0001056973,"Carlson Capital, L.P.",2025-09-30,2025-11-05,2025-11-06,13F-HR,,INITIAL_SNAPSHOT,1,AON,0000315293,G0403H108,AON PLC,SHS CL A,213948,600,SOLE,600,0,0,https://www.sec.gov/Archives/edgar/data/1056973/000105697325000017/0001056973-25-000017.txt,3ee68b611a28aef25e961dd9f1d587b2b7c93100692b80d9f0ece54c07a9cfb1,30507,2025-11-05T13:03:11Z,2025-11-06,VALID,,
13FSR-0040,REPLACE_SNAPSHOT_FROM_AVAILABILITY__E2_2017_2020,false,0001062993-19-001627,0001541353,Triangle Securities Wealth Management,2019-03-31,2019-04-10,2019-04-11,13F-HR/A,RESTATEMENT,REPLACE_SNAPSHOT_FROM_AVAILABILITY,1,PM,0001413329,718172109,PHILIP MORRIS INTL INC,COM,1154,13059,SOLE,0,0,13059,https://www.sec.gov/Archives/edgar/data/1541353/000106299319001627/0001062993-19-001627.txt,9d3334528fd200d8f442e5b29565e230c62736231d36e3afc8a0fef88d3f170f,65062,2019-04-10T10:09:15Z,2019-04-11,VALID,,
13FSR-0041,INITIAL_SNAPSHOT__E3_2021_2022,false,0001062993-21-000320,0001730818,"Baugh & Associates, LLC",2020-12-31,2021-01-13,2021-01-14,13F-HR,,INITIAL_SNAPSHOT,1,GE,0000040545,369604103,GENERAL ELECTRIC CO,COM,1177,108948,SOLE,0,0,108948,https://www.sec.gov/Archives/edgar/data/1730818/000106299321000320/0001062993-21-000320.txt,38aad0ef18e98823b9bedeb0967309f735e228363e735f37e3db560ef0ad29dd,20779,2021-01-13T10:03:38Z,2021-01-14,VALID,,
13FSR-0042,INITIAL_SNAPSHOT__E3_2021_2022,false,0001062993-21-004295,0001324279,Coastline Trust Co,2021-03-31,2021-05-10,2021-05-11,13F-HR,,INITIAL_SNAPSHOT,1,CSCO,0000858877,17275R102,CISCO SYSTEMS INC,COMMON STOCK,6828,132058,DFND|OTR,132058,0,0,https://www.sec.gov/Archives/edgar/data/1324279/000106299321004295/0001062993-21-004295.txt,71bcf1e78278263ebc61c20f8747fe2e8d63d03edb9133d3bf3cab3a2a0d971c,231069,2021-05-10T16:14:44Z,2021-05-11,VALID,,
13FSR-0043,INITIAL_SNAPSHOT__E3_2021_2022,false,0001062993-22-021928,0001542302,LYRICAL ASSET MANAGEMENT LP,2022-09-30,2022-11-14,2022-11-15,13F-HR,,INITIAL_SNAPSHOT,1,WDC,0000106040,958102105,Western Digital Corporation,COM,116665,3584182,SOLE,2736038,848144,0,https://www.sec.gov/Archives/edgar/data/1542302/000106299322021928/0001062993-22-021928.txt,596767660fc52356f7be9df22227bd35939c998d0e893ca6f8b786eebaf5c824,21479,2022-11-14T09:47:41Z,2022-11-15,VALID,,
13FSR-0044,REPLACE_SNAPSHOT_FROM_AVAILABILITY__E3_2021_2022,false,0001062993-22-022224,0001510281,"Saba Capital Management, L.P.",2022-09-30,2022-11-16,2022-11-17,13F-HR/A,RESTATEMENT,REPLACE_SNAPSHOT_FROM_AVAILABILITY,1,EMR,0000032604,291011104,EMERSON ELEC CO,COM,7040,96155,SOLE,96155,0,0,https://www.sec.gov/Archives/edgar/data/1510281/000106299322022224/0001062993-22-022224.txt,e9ba04b68d4f2a75ad05a4a2441321e483af2ec55bdd009b01201d7489542526,496234,2022-11-15T17:42:38Z,2022-11-16,VALID,,
13FSR-0045,EXCLUDE_UNKNOWN_AMENDMENT_SEMANTICS__E4_2023_2026,true,0001071061-24-000014,0001071061,"HANTZ FINANCIAL SERVICES, INC.",2020-03-31,2024-08-06,2024-08-07,13F-HR/A,,EXCLUDE_UNKNOWN_AMENDMENT_SEMANTICS,0,WM,0000823768,94106L109,WASTE MGMT INC DEL,USD,3164,34184,SOLE,0,0,3164,https://www.sec.gov/Archives/edgar/data/1071061/000107106124000014/0001071061-24-000014.txt,97165cd4c7c42c2ebc273b597c6f52e33a10d78d2557f106c0e9ab5e7b09fe1c,195373,2024-08-06T15:52:12Z,2024-08-07,VALID,,
