ticker,security_structure_class,price_role,universe_roles,company,cik,gics_sector_current,gics_sub_industry_current,current_semiconductor_cohort,gics_point_in_time,research_eligibility
AON,OPERATING_COMPANY_EQUITY,EQUITY,INDEPENDENT_CURRENT_CONSTITUENTS,Aon plc,315293.0,Financials,Insurance Brokers,False,False,DIAGNOSTIC_ONLY_UNTIL_PIT_STYLE_RESOLVED
AOS,OPERATING_COMPANY_EQUITY,EQUITY,INDEPENDENT_CURRENT_CONSTITUENTS,A. O. Smith,91142.0,Industrials,Building Products,False,False,DIAGNOSTIC_ONLY_UNTIL_PIT_STYLE_RESOLVED
APA,OPERATING_COMPANY_EQUITY,EQUITY,INDEPENDENT_CURRENT_CONSTITUENTS,APA Corporation,1841666.0,Energy,Oil & Gas Exploration & Production,False,False,DIAGNOSTIC_ONLY_UNTIL_PIT_STYLE_RESOLVED
APD,OPERATING_COMPANY_EQUITY,EQUITY,PRIMARY,Air Products,2969.0,Materials,Industrial Gases,False,False,DIAGNOSTIC_ONLY_UNTIL_PIT_STYLE_RESOLVED
APH,OPERATING_COMPANY_EQUITY,EQUITY,INDEPENDENT_CURRENT_CONSTITUENTS,Amphenol,820313.0,Information Technology,Electronic Components,False,False,DIAGNOSTIC_ONLY_UNTIL_PIT_STYLE_RESOLVED
APO,OPERATING_COMPANY_EQUITY,EQUITY,INDEPENDENT_CURRENT_CONSTITUENTS,Apollo Global Management,1858681.0,Financials,Asset Management & Custody Banks,False,False,DIAGNOSTIC_ONLY_UNTIL_PIT_STYLE_RESOLVED
APP,OPERATING_COMPANY_EQUITY,EQUITY,INDEPENDENT_CURRENT_CONSTITUENTS,AppLovin,1751008.0,Information Technology,Application Software,False,False,DIAGNOSTIC_ONLY_UNTIL_PIT_STYLE_RESOLVED
APTV,OPERATING_COMPANY_EQUITY,EQUITY,INDEPENDENT_CURRENT_CONSTITUENTS,Aptiv,1521332.0,Consumer Discretionary,Automotive Parts & Equipment,False,False,DIAGNOSTIC_ONLY_UNTIL_PIT_STYLE_RESOLVED
ARE,OPERATING_COMPANY_EQUITY,EQUITY,INDEPENDENT_CURRENT_CONSTITUENTS,Alexandria Real Estate Equities,1035443.0,Real Estate,Office REITs,False,False,DIAGNOSTIC_ONLY_UNTIL_PIT_STYLE_RESOLVED
ARES,OPERATING_COMPANY_EQUITY,EQUITY,INDEPENDENT_CURRENT_CONSTITUENTS,Ares Management,1176948.0,Financials,Asset Management & Custody Banks,False,False,DIAGNOSTIC_ONLY_UNTIL_PIT_STYLE_RESOLVED
ATO,OPERATING_COMPANY_EQUITY,EQUITY,INDEPENDENT_CURRENT_CONSTITUENTS,Atmos Energy,731802.0,Utilities,Gas Utilities,False,False,DIAGNOSTIC_ONLY_UNTIL_PIT_STYLE_RESOLVED
AVB,OPERATING_COMPANY_EQUITY,EQUITY,INDEPENDENT_CURRENT_CONSTITUENTS,AvalonBay Communities,915912.0,Real Estate,Multi-Family Residential REITs,False,False,DIAGNOSTIC_ONLY_UNTIL_PIT_STYLE_RESOLVED
AVGO,OPERATING_COMPANY_EQUITY,EQUITY,PRIMARY,Broadcom,1730168.0,Information Technology,Semiconductors,True,False,SEPARATE_CALIBRATION_REQUIRED
AVY,OPERATING_COMPANY_EQUITY,EQUITY,INDEPENDENT_CURRENT_CONSTITUENTS,Avery Dennison,8818.0,Materials,Paper & Plastic Packaging Products & Materials,False,False,DIAGNOSTIC_ONLY_UNTIL_PIT_STYLE_RESOLVED
AWK,OPERATING_COMPANY_EQUITY,EQUITY,INDEPENDENT_CURRENT_CONSTITUENTS,American Water Works,1410636.0,Utilities,Water Utilities,False,False,DIAGNOSTIC_ONLY_UNTIL_PIT_STYLE_RESOLVED
AXON,OPERATING_COMPANY_EQUITY,EQUITY,INDEPENDENT_CURRENT_CONSTITUENTS,Axon Enterprise,1069183.0,Industrials,Aerospace & Defense,False,False,DIAGNOSTIC_ONLY_UNTIL_PIT_STYLE_RESOLVED
AXP,OPERATING_COMPANY_EQUITY,EQUITY,INDEPENDENT_CURRENT_CONSTITUENTS,American Express,4962.0,Financials,Consumer Finance,False,False,DIAGNOSTIC_ONLY_UNTIL_PIT_STYLE_RESOLVED
AZO,OPERATING_COMPANY_EQUITY,EQUITY,INDEPENDENT_CURRENT_CONSTITUENTS,AutoZone,866787.0,Consumer Discretionary,Automotive Retail,False,False,DIAGNOSTIC_ONLY_UNTIL_PIT_STYLE_RESOLVED
BA,OPERATING_COMPANY_EQUITY,EQUITY,PRIMARY,Boeing,12927.0,Industrials,Aerospace & Defense,False,False,DIAGNOSTIC_ONLY_UNTIL_PIT_STYLE_RESOLVED
BAC,OPERATING_COMPANY_EQUITY,EQUITY,PRIMARY,Bank of America,70858.0,Financials,Diversified Banks,False,False,DIAGNOSTIC_ONLY_UNTIL_PIT_STYLE_RESOLVED
BALL,OPERATING_COMPANY_EQUITY,EQUITY,INDEPENDENT_CURRENT_CONSTITUENTS,Ball Corporation,9389.0,Materials,"Metal, Glass & Plastic Containers",False,False,DIAGNOSTIC_ONLY_UNTIL_PIT_STYLE_RESOLVED
BAX,OPERATING_COMPANY_EQUITY,EQUITY,INDEPENDENT_CURRENT_CONSTITUENTS,Baxter International,10456.0,Health Care,Health Care Equipment,False,False,DIAGNOSTIC_ONLY_UNTIL_PIT_STYLE_RESOLVED
BBY,OPERATING_COMPANY_EQUITY,EQUITY,INDEPENDENT_CURRENT_CONSTITUENTS,Best Buy,764478.0,Consumer Discretionary,Computer & Electronics Retail,False,False,DIAGNOSTIC_ONLY_UNTIL_PIT_STYLE_RESOLVED
BDX,OPERATING_COMPANY_EQUITY,EQUITY,INDEPENDENT_CURRENT_CONSTITUENTS,Becton Dickinson,10795.0,Health Care,Health Care Equipment,False,False,DIAGNOSTIC_ONLY_UNTIL_PIT_STYLE_RESOLVED
BEN,OPERATING_COMPANY_EQUITY,EQUITY,INDEPENDENT_CURRENT_CONSTITUENTS,Franklin Resources,38777.0,Financials,Asset Management & Custody Banks,False,False,DIAGNOSTIC_ONLY_UNTIL_PIT_STYLE_RESOLVED
BF-B,OPERATING_COMPANY_EQUITY,EQUITY,INDEPENDENT_CURRENT_CONSTITUENTS,Brown–Forman,14693.0,Consumer Staples,Distillers & Vintners,False,False,DIAGNOSTIC_ONLY_UNTIL_PIT_STYLE_RESOLVED
BG,OPERATING_COMPANY_EQUITY,EQUITY,INDEPENDENT_CURRENT_CONSTITUENTS,Bunge Global,1996862.0,Consumer Staples,Agricultural Products & Services,False,False,DIAGNOSTIC_ONLY_UNTIL_PIT_STYLE_RESOLVED
BIIB,OPERATING_COMPANY_EQUITY,EQUITY,INDEPENDENT_CURRENT_CONSTITUENTS,Biogen,875045.0,Health Care,Biotechnology,False,False,DIAGNOSTIC_ONLY_UNTIL_PIT_STYLE_RESOLVED
BITX,LEVERAGED_OR_INVERSE_ETP,ETP,,,,,,False,,EXCLUDED_FROM_EQUITY_ACTION_MODEL
BKNG,OPERATING_COMPANY_EQUITY,EQUITY,INDEPENDENT_CURRENT_CONSTITUENTS,Booking Holdings,1075531.0,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",False,False,DIAGNOSTIC_ONLY_UNTIL_PIT_STYLE_RESOLVED
BKR,OPERATING_COMPANY_EQUITY,EQUITY,INDEPENDENT_CURRENT_CONSTITUENTS,Baker Hughes,1701605.0,Energy,Oil & Gas Equipment & Services,False,False,DIAGNOSTIC_ONLY_UNTIL_PIT_STYLE_RESOLVED
BLDR,OPERATING_COMPANY_EQUITY,EQUITY,INDEPENDENT_CURRENT_CONSTITUENTS,Builders FirstSource,1316835.0,Industrials,Building Products,False,False,DIAGNOSTIC_ONLY_UNTIL_PIT_STYLE_RESOLVED
BLK,OPERATING_COMPANY_EQUITY,EQUITY,INDEPENDENT_CURRENT_CONSTITUENTS,BlackRock,2012383.0,Financials,Asset Management & Custody Banks,False,False,DIAGNOSTIC_ONLY_UNTIL_PIT_STYLE_RESOLVED
BMY,OPERATING_COMPANY_EQUITY,EQUITY,INDEPENDENT_CURRENT_CONSTITUENTS,Bristol Myers Squibb,14272.0,Health Care,Pharmaceuticals,False,False,DIAGNOSTIC_ONLY_UNTIL_PIT_STYLE_RESOLVED
BNY,OPERATING_COMPANY_EQUITY,EQUITY,INDEPENDENT_CURRENT_CONSTITUENTS,BNY Mellon,1390777.0,Financials,Asset Management & Custody Banks,False,False,DIAGNOSTIC_ONLY_UNTIL_PIT_STYLE_RESOLVED
BOIL,LEVERAGED_OR_INVERSE_ETP,ETP,,,,,,False,,EXCLUDED_FROM_EQUITY_ACTION_MODEL
BR,OPERATING_COMPANY_EQUITY,EQUITY,INDEPENDENT_CURRENT_CONSTITUENTS,Broadridge Financial Solutions,1383312.0,Industrials,Data Processing & Outsourced Services,False,False,DIAGNOSTIC_ONLY_UNTIL_PIT_STYLE_RESOLVED
BRK-B,OPERATING_COMPANY_EQUITY,EQUITY,INDEPENDENT_CURRENT_CONSTITUENTS,Berkshire Hathaway,1067983.0,Financials,Multi-Sector Holdings,False,False,DIAGNOSTIC_ONLY_UNTIL_PIT_STYLE_RESOLVED
BRO,OPERATING_COMPANY_EQUITY,EQUITY,INDEPENDENT_CURRENT_CONSTITUENTS,Brown & Brown,79282.0,Financials,Insurance Brokers,False,False,DIAGNOSTIC_ONLY_UNTIL_PIT_STYLE_RESOLVED
BSX,OPERATING_COMPANY_EQUITY,EQUITY,INDEPENDENT_CURRENT_CONSTITUENTS,Boston Scientific,885725.0,Health Care,Health Care Equipment,False,False,DIAGNOSTIC_ONLY_UNTIL_PIT_STYLE_RESOLVED
BX,OPERATING_COMPANY_EQUITY,EQUITY,INDEPENDENT_CURRENT_CONSTITUENTS,Blackstone Inc.,1393818.0,Financials,Asset Management & Custody Banks,False,False,DIAGNOSTIC_ONLY_UNTIL_PIT_STYLE_RESOLVED
BXP,OPERATING_COMPANY_EQUITY,EQUITY,INDEPENDENT_CURRENT_CONSTITUENTS,"BXP, Inc.",1037540.0,Real Estate,Office REITs,False,False,DIAGNOSTIC_ONLY_UNTIL_PIT_STYLE_RESOLVED
C,OPERATING_COMPANY_EQUITY,EQUITY,INDEPENDENT_CURRENT_CONSTITUENTS,Citigroup,831001.0,Financials,Diversified Banks,False,False,DIAGNOSTIC_ONLY_UNTIL_PIT_STYLE_RESOLVED
CAH,OPERATING_COMPANY_EQUITY,EQUITY,INDEPENDENT_CURRENT_CONSTITUENTS,Cardinal Health,721371.0,Health Care,Health Care Distributors,False,False,DIAGNOSTIC_ONLY_UNTIL_PIT_STYLE_RESOLVED
CARR,OPERATING_COMPANY_EQUITY,EQUITY,INDEPENDENT_CURRENT_CONSTITUENTS,Carrier Global,1783180.0,Industrials,Building Products,False,False,DIAGNOSTIC_ONLY_UNTIL_PIT_STYLE_RESOLVED
CASY,OPERATING_COMPANY_EQUITY,EQUITY,INDEPENDENT_CURRENT_CONSTITUENTS,Casey's,726958.0,Consumer Staples,Food Retail,False,False,DIAGNOSTIC_ONLY_UNTIL_PIT_STYLE_RESOLVED
CAT,OPERATING_COMPANY_EQUITY,EQUITY,PRIMARY,Caterpillar Inc.,18230.0,Industrials,Construction Machinery & Heavy Transportation Equipment,False,False,DIAGNOSTIC_ONLY_UNTIL_PIT_STYLE_RESOLVED
CB,OPERATING_COMPANY_EQUITY,EQUITY,INDEPENDENT_CURRENT_CONSTITUENTS,Chubb Limited,896159.0,Financials,Property & Casualty Insurance,False,False,DIAGNOSTIC_ONLY_UNTIL_PIT_STYLE_RESOLVED
CBOE,OPERATING_COMPANY_EQUITY,EQUITY,INDEPENDENT_CURRENT_CONSTITUENTS,Cboe Global Markets,1374310.0,Financials,Financial Exchanges & Data,False,False,DIAGNOSTIC_ONLY_UNTIL_PIT_STYLE_RESOLVED
CBRE,OPERATING_COMPANY_EQUITY,EQUITY,INDEPENDENT_CURRENT_CONSTITUENTS,CBRE Group,1138118.0,Real Estate,Real Estate Services,False,False,DIAGNOSTIC_ONLY_UNTIL_PIT_STYLE_RESOLVED
CCI,OPERATING_COMPANY_EQUITY,EQUITY,INDEPENDENT_CURRENT_CONSTITUENTS,Crown Castle,1051470.0,Real Estate,Telecom Tower REITs,False,False,DIAGNOSTIC_ONLY_UNTIL_PIT_STYLE_RESOLVED
CCL,OPERATING_COMPANY_EQUITY,EQUITY,INDEPENDENT_CURRENT_CONSTITUENTS,Carnival Corporation,815097.0,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",False,False,DIAGNOSTIC_ONLY_UNTIL_PIT_STYLE_RESOLVED
CDNS,OPERATING_COMPANY_EQUITY,EQUITY,INDEPENDENT_CURRENT_CONSTITUENTS,Cadence Design Systems,813672.0,Information Technology,Application Software,False,False,DIAGNOSTIC_ONLY_UNTIL_PIT_STYLE_RESOLVED
CDW,OPERATING_COMPANY_EQUITY,EQUITY,INDEPENDENT_CURRENT_CONSTITUENTS,CDW Corporation,1402057.0,Information Technology,Technology Distributors,False,False,DIAGNOSTIC_ONLY_UNTIL_PIT_STYLE_RESOLVED
CEG,OPERATING_COMPANY_EQUITY,EQUITY,INDEPENDENT_CURRENT_CONSTITUENTS,Constellation Energy,1868275.0,Utilities,Electric Utilities,False,False,DIAGNOSTIC_ONLY_UNTIL_PIT_STYLE_RESOLVED
CF,OPERATING_COMPANY_EQUITY,EQUITY,INDEPENDENT_CURRENT_CONSTITUENTS,CF Industries,1324404.0,Materials,Fertilizers & Agricultural Chemicals,False,False,DIAGNOSTIC_ONLY_UNTIL_PIT_STYLE_RESOLVED
CFG,OPERATING_COMPANY_EQUITY,EQUITY,INDEPENDENT_CURRENT_CONSTITUENTS,Citizens Financial Group,759944.0,Financials,Regional Banks,False,False,DIAGNOSTIC_ONLY_UNTIL_PIT_STYLE_RESOLVED
CHD,OPERATING_COMPANY_EQUITY,EQUITY,INDEPENDENT_CURRENT_CONSTITUENTS,Church & Dwight,313927.0,Consumer Staples,Household Products,False,False,DIAGNOSTIC_ONLY_UNTIL_PIT_STYLE_RESOLVED
CHRW,OPERATING_COMPANY_EQUITY,EQUITY,INDEPENDENT_CURRENT_CONSTITUENTS,C.H. Robinson,1043277.0,Industrials,Air Freight & Logistics,False,False,DIAGNOSTIC_ONLY_UNTIL_PIT_STYLE_RESOLVED
CHTR,OPERATING_COMPANY_EQUITY,EQUITY,INDEPENDENT_CURRENT_CONSTITUENTS,Charter Communications,1091667.0,Communication Services,Cable & Satellite,False,False,DIAGNOSTIC_ONLY_UNTIL_PIT_STYLE_RESOLVED
CI,OPERATING_COMPANY_EQUITY,EQUITY,INDEPENDENT_CURRENT_CONSTITUENTS,Cigna,1739940.0,Health Care,Health Care Services,False,False,DIAGNOSTIC_ONLY_UNTIL_PIT_STYLE_RESOLVED
CIEN,OPERATING_COMPANY_EQUITY,EQUITY,INDEPENDENT_CURRENT_CONSTITUENTS,Ciena,936395.0,Information Technology,Communications Equipment,False,False,DIAGNOSTIC_ONLY_UNTIL_PIT_STYLE_RESOLVED
CINF,OPERATING_COMPANY_EQUITY,EQUITY,INDEPENDENT_CURRENT_CONSTITUENTS,Cincinnati Financial,20286.0,Financials,Property & Casualty Insurance,False,False,DIAGNOSTIC_ONLY_UNTIL_PIT_STYLE_RESOLVED
CL,OPERATING_COMPANY_EQUITY,EQUITY,INDEPENDENT_CURRENT_CONSTITUENTS,Colgate-Palmolive,21665.0,Consumer Staples,Household Products,False,False,DIAGNOSTIC_ONLY_UNTIL_PIT_STYLE_RESOLVED
CLX,OPERATING_COMPANY_EQUITY,EQUITY,INDEPENDENT_CURRENT_CONSTITUENTS,Clorox,21076.0,Consumer Staples,Household Products,False,False,DIAGNOSTIC_ONLY_UNTIL_PIT_STYLE_RESOLVED
CMCSA,OPERATING_COMPANY_EQUITY,EQUITY,INDEPENDENT_CURRENT_CONSTITUENTS,Comcast,1166691.0,Communication Services,Cable & Satellite,False,False,DIAGNOSTIC_ONLY_UNTIL_PIT_STYLE_RESOLVED
CME,OPERATING_COMPANY_EQUITY,EQUITY,INDEPENDENT_CURRENT_CONSTITUENTS,CME Group,1156375.0,Financials,Financial Exchanges & Data,False,False,DIAGNOSTIC_ONLY_UNTIL_PIT_STYLE_RESOLVED
CMG,OPERATING_COMPANY_EQUITY,EQUITY,INDEPENDENT_CURRENT_CONSTITUENTS,Chipotle Mexican Grill,1058090.0,Consumer Discretionary,Restaurants,False,False,DIAGNOSTIC_ONLY_UNTIL_PIT_STYLE_RESOLVED
CMI,OPERATING_COMPANY_EQUITY,EQUITY,INDEPENDENT_CURRENT_CONSTITUENTS,Cummins,26172.0,Industrials,Construction Machinery & Heavy Transportation Equipment,False,False,DIAGNOSTIC_ONLY_UNTIL_PIT_STYLE_RESOLVED
CMS,OPERATING_COMPANY_EQUITY,EQUITY,INDEPENDENT_CURRENT_CONSTITUENTS,CMS Energy,811156.0,Utilities,Multi-Utilities,False,False,DIAGNOSTIC_ONLY_UNTIL_PIT_STYLE_RESOLVED
CNC,OPERATING_COMPANY_EQUITY,EQUITY,INDEPENDENT_CURRENT_CONSTITUENTS,Centene Corporation,1071739.0,Health Care,Managed Health Care,False,False,DIAGNOSTIC_ONLY_UNTIL_PIT_STYLE_RESOLVED
CNP,OPERATING_COMPANY_EQUITY,EQUITY,INDEPENDENT_CURRENT_CONSTITUENTS,CenterPoint Energy,1130310.0,Utilities,Multi-Utilities,False,False,DIAGNOSTIC_ONLY_UNTIL_PIT_STYLE_RESOLVED
COF,OPERATING_COMPANY_EQUITY,EQUITY,INDEPENDENT_CURRENT_CONSTITUENTS,Capital One,927628.0,Financials,Consumer Finance,False,False,DIAGNOSTIC_ONLY_UNTIL_PIT_STYLE_RESOLVED
COHR,OPERATING_COMPANY_EQUITY,EQUITY,INDEPENDENT_CURRENT_CONSTITUENTS,Coherent Corp.,820318.0,Information Technology,Electronic Components,False,False,DIAGNOSTIC_ONLY_UNTIL_PIT_STYLE_RESOLVED
COIN,OPERATING_COMPANY_EQUITY,EQUITY,INDEPENDENT_CURRENT_CONSTITUENTS,Coinbase,1679788.0,Financials,Financial Exchanges & Data,False,False,DIAGNOSTIC_ONLY_UNTIL_PIT_STYLE_RESOLVED
COO,OPERATING_COMPANY_EQUITY,EQUITY,INDEPENDENT_CURRENT_CONSTITUENTS,Cooper Companies (The),711404.0,Health Care,Health Care Supplies,False,False,DIAGNOSTIC_ONLY_UNTIL_PIT_STYLE_RESOLVED
COP,OPERATING_COMPANY_EQUITY,EQUITY,PRIMARY,ConocoPhillips,1163165.0,Energy,Oil & Gas Exploration & Production,False,False,DIAGNOSTIC_ONLY_UNTIL_PIT_STYLE_RESOLVED
COR,OPERATING_COMPANY_EQUITY,EQUITY,INDEPENDENT_CURRENT_CONSTITUENTS,Cencora,1140859.0,Health Care,Health Care Distributors,False,False,DIAGNOSTIC_ONLY_UNTIL_PIT_STYLE_RESOLVED
COST,OPERATING_COMPANY_EQUITY,EQUITY,PRIMARY,Costco,909832.0,Consumer Staples,Consumer Staples Merchandise Retail,False,False,DIAGNOSTIC_ONLY_UNTIL_PIT_STYLE_RESOLVED
CPAY,OPERATING_COMPANY_EQUITY,EQUITY,INDEPENDENT_CURRENT_CONSTITUENTS,Corpay,1175454.0,Financials,Transaction & Payment Processing Services,False,False,DIAGNOSTIC_ONLY_UNTIL_PIT_STYLE_RESOLVED
CPRT,OPERATING_COMPANY_EQUITY,EQUITY,INDEPENDENT_CURRENT_CONSTITUENTS,Copart,900075.0,Industrials,Diversified Support Services,False,False,DIAGNOSTIC_ONLY_UNTIL_PIT_STYLE_RESOLVED
