universe_role,research_segment,policy_id,one_way_cost_bps,event_count,descriptive_minimum_met,median_net_terminal_wealth_delta,mean_net_terminal_wealth_delta,positive_net_value_rate,median_terminal_share_delta,completed_policy_rate
INDEPENDENT_CURRENT_CONSTITUENTS,CYCLICAL_SEMICONDUCTOR_CURRENT_GICS,TRIM_TO_SPY_HORIZON,10,100,True,-0.00184731046103935,-0.0037411718845100565,0.43,-0.05,1.0
INDEPENDENT_CURRENT_CONSTITUENTS,CYCLICAL_SEMICONDUCTOR_CURRENT_GICS,TRIM_TO_SPY_HORIZON,25,100,True,-0.0020208286552138,-0.0039031674872198317,0.39,-0.05,1.0
INDEPENDENT_CURRENT_CONSTITUENTS,CYCLICAL_SEMICONDUCTOR_CURRENT_GICS,TRIM_TO_SPY_HORIZON,50,100,True,-0.00230887217321605,-0.004172083283211217,0.38,-0.05,1.0
INDEPENDENT_CURRENT_CONSTITUENTS,OTHER_OR_UNRESOLVED_OPERATING_COMPANY,MATCHED_HOLD,10,1831,True,0.0,0.0,0.0,0.0,1.0
INDEPENDENT_CURRENT_CONSTITUENTS,OTHER_OR_UNRESOLVED_OPERATING_COMPANY,MATCHED_HOLD,25,1831,True,0.0,0.0,0.0,0.0,1.0
INDEPENDENT_CURRENT_CONSTITUENTS,OTHER_OR_UNRESOLVED_OPERATING_COMPANY,MATCHED_HOLD,50,1831,True,0.0,0.0,0.0,0.0,1.0
INDEPENDENT_CURRENT_CONSTITUENTS,OTHER_OR_UNRESOLVED_OPERATING_COMPANY,TRIM_KEEP_CASH,10,1831,True,-0.0033443762412732,-0.003655698952614019,0.3593664664117968,-0.05,0.0
INDEPENDENT_CURRENT_CONSTITUENTS,OTHER_OR_UNRESOLVED_OPERATING_COMPANY,TRIM_KEEP_CASH,25,1831,True,-0.0034189185012243,-0.003730653754145084,0.3571818678317859,-0.05,0.0
INDEPENDENT_CURRENT_CONSTITUENTS,OTHER_OR_UNRESOLVED_OPERATING_COMPANY,TRIM_KEEP_CASH,50,1831,True,-0.0035430312552402,-0.003855453389289486,0.3517203713817586,-0.05,0.0
INDEPENDENT_CURRENT_CONSTITUENTS,OTHER_OR_UNRESOLVED_OPERATING_COMPANY,TRIM_REENTER_21,10,1831,True,-0.0004738459782191,-0.0006856889804666937,0.4238121245221191,-0.0004906234851842,1.0
INDEPENDENT_CURRENT_CONSTITUENTS,OTHER_OR_UNRESOLVED_OPERATING_COMPANY,TRIM_REENTER_21,25,1831,True,-0.0006275337165389,-0.000844252061133517,0.4057891862370289,-0.0006389291654772,1.0
INDEPENDENT_CURRENT_CONSTITUENTS,OTHER_OR_UNRESOLVED_OPERATING_COMPANY,TRIM_REENTER_21,50,1831,True,-0.0008915141085062,-0.0011074698049432332,0.383397050791917,-0.0008851194286629,1.0
INDEPENDENT_CURRENT_CONSTITUENTS,OTHER_OR_UNRESOLVED_OPERATING_COMPANY,TRIM_REENTER_63,10,1831,True,-0.0014551051970969,-0.0010404504774077145,0.4183506280720918,-0.001354290921122,1.0
INDEPENDENT_CURRENT_CONSTITUENTS,OTHER_OR_UNRESOLVED_OPERATING_COMPANY,TRIM_REENTER_63,25,1831,True,-0.001618471353677,-0.0011979508675530777,0.4123429819770617,-0.0015000094796282,1.0
INDEPENDENT_CURRENT_CONSTITUENTS,OTHER_OR_UNRESOLVED_OPERATING_COMPANY,TRIM_REENTER_63,50,1831,True,-0.0018661554151897,-0.0014594045247907509,0.4019661387220098,-0.0017419050712118,1.0
INDEPENDENT_CURRENT_CONSTITUENTS,OTHER_OR_UNRESOLVED_OPERATING_COMPANY,TRIM_TO_SPY_HORIZON,10,1831,True,5.404571176854408e-05,-0.0005088721429547824,0.5035499726925178,-0.05,1.0
INDEPENDENT_CURRENT_CONSTITUENTS,OTHER_OR_UNRESOLVED_OPERATING_COMPANY,TRIM_TO_SPY_HORIZON,25,1831,True,-0.0001089157760113,-0.000667964879683154,0.4931731294374659,-0.05,1.0
INDEPENDENT_CURRENT_CONSTITUENTS,OTHER_OR_UNRESOLVED_OPERATING_COMPANY,TRIM_TO_SPY_HORIZON,50,1831,True,-0.0003741524138333,-0.0009320618626759709,0.4773347897323867,-0.05,1.0
PRIMARY,CYCLICAL_SEMICONDUCTOR_CURRENT_GICS,MATCHED_HOLD,10,9,False,0.0,0.0,0.0,0.0,1.0
PRIMARY,CYCLICAL_SEMICONDUCTOR_CURRENT_GICS,MATCHED_HOLD,25,9,False,0.0,0.0,0.0,0.0,1.0
PRIMARY,CYCLICAL_SEMICONDUCTOR_CURRENT_GICS,MATCHED_HOLD,50,9,False,0.0,0.0,0.0,0.0,1.0
PRIMARY,CYCLICAL_SEMICONDUCTOR_CURRENT_GICS,TRIM_KEEP_CASH,10,9,False,-0.0241396376680363,-0.022587035024688847,0.0,-0.05,0.0
PRIMARY,CYCLICAL_SEMICONDUCTOR_CURRENT_GICS,TRIM_KEEP_CASH,25,9,False,-0.0242140021576531,-0.022662421866141733,0.0,-0.05,0.0
PRIMARY,CYCLICAL_SEMICONDUCTOR_CURRENT_GICS,TRIM_KEEP_CASH,50,9,False,-0.0243378189243221,-0.022787940847125435,0.0,-0.05,0.0
PRIMARY,CYCLICAL_SEMICONDUCTOR_CURRENT_GICS,TRIM_REENTER_21,10,9,False,-0.0002298796048283,-0.0015332898383094888,0.4444444444444444,-0.0001715956027018,1.0
PRIMARY,CYCLICAL_SEMICONDUCTOR_CURRENT_GICS,TRIM_REENTER_21,25,9,False,-0.0004298388994547,-0.0017468855510658532,0.3333333333333333,-0.0003208569332268,1.0
PRIMARY,CYCLICAL_SEMICONDUCTOR_CURRENT_GICS,TRIM_REENTER_21,50,9,False,-0.0007617751494564,-0.0021014585157350554,0.3333333333333333,-0.0005686335940583,1.0
PRIMARY,CYCLICAL_SEMICONDUCTOR_CURRENT_GICS,TRIM_REENTER_63,10,9,False,-0.0008658020370183,-0.004919017327242366,0.3333333333333333,-0.0006462853565176,1.0
PRIMARY,CYCLICAL_SEMICONDUCTOR_CURRENT_GICS,TRIM_REENTER_63,25,9,False,-0.0010638564215939,-0.005122471069853188,0.3333333333333333,-0.0007941247505969,1.0
PRIMARY,CYCLICAL_SEMICONDUCTOR_CURRENT_GICS,TRIM_REENTER_63,50,9,False,-0.0013926304845121,-0.005460208170283155,0.3333333333333333,-0.0010395409697576,1.0
PRIMARY,CYCLICAL_SEMICONDUCTOR_CURRENT_GICS,TRIM_TO_SPY_HORIZON,10,9,False,-0.0172173091949786,-0.01722970720159009,0.1111111111111111,-0.05,1.0
PRIMARY,CYCLICAL_SEMICONDUCTOR_CURRENT_GICS,TRIM_TO_SPY_HORIZON,25,9,False,-0.0173931686720763,-0.017396284187408278,0.1111111111111111,-0.05,1.0
PRIMARY,CYCLICAL_SEMICONDUCTOR_CURRENT_GICS,TRIM_TO_SPY_HORIZON,50,9,False,-0.0176850987644695,-0.017672805166902943,0.1111111111111111,-0.05,1.0
PRIMARY,OTHER_OPERATING_COMPANY,MATCHED_HOLD,10,104,True,0.0,0.0,0.0,0.0,1.0
PRIMARY,OTHER_OPERATING_COMPANY,MATCHED_HOLD,25,104,True,0.0,0.0,0.0,0.0,1.0
PRIMARY,OTHER_OPERATING_COMPANY,MATCHED_HOLD,50,104,True,0.0,0.0,0.0,0.0,1.0
PRIMARY,OTHER_OPERATING_COMPANY,TRIM_KEEP_CASH,10,104,True,-0.00094641307293945,-0.004098922647573171,0.4230769230769231,-0.05,0.0
PRIMARY,OTHER_OPERATING_COMPANY,TRIM_KEEP_CASH,25,104,True,-0.0010208252114964,-0.004173926851924364,0.40384615384615385,-0.05,0.0
PRIMARY,OTHER_OPERATING_COMPANY,TRIM_KEEP_CASH,50,104,True,-0.001144721313581,-0.004298808742692144,0.3942307692307692,-0.05,0.0
PRIMARY,OTHER_OPERATING_COMPANY,TRIM_REENTER_21,10,104,True,-0.00027425779681380003,-0.0016398865018891586,0.46153846153846156,-0.0002404080855309,1.0
PRIMARY,OTHER_OPERATING_COMPANY,TRIM_REENTER_21,25,104,True,-0.0004443447316377,-0.0017970176022609576,0.4519230769230769,-0.0003894632877868,1.0
PRIMARY,OTHER_OPERATING_COMPANY,TRIM_REENTER_21,50,104,True,-0.0007172584225948501,-0.002057858231417985,0.4230769230769231,-0.00063689777175315,1.0
PRIMARY,OTHER_OPERATING_COMPANY,TRIM_REENTER_63,10,104,True,-0.000780164243701,-0.0016053244983534444,0.47115384615384615,-0.00075114498464905,1.0
PRIMARY,OTHER_OPERATING_COMPANY,TRIM_REENTER_63,25,104,True,-0.0009336619936969,-0.0017625591294462646,0.46153846153846156,-0.0008986702709859,1.0
PRIMARY,OTHER_OPERATING_COMPANY,TRIM_REENTER_63,50,104,True,-0.00118847119180185,-0.0020235716215784433,0.4423076923076923,-0.0011435650652922,1.0
PRIMARY,OTHER_OPERATING_COMPANY,TRIM_TO_SPY_HORIZON,10,104,True,0.00169147380451645,-0.001402976902161768,0.6057692307692307,-0.05,1.0
PRIMARY,OTHER_OPERATING_COMPANY,TRIM_TO_SPY_HORIZON,25,104,True,0.0015489178897139001,-0.0015608176668806166,0.5865384615384616,-0.05,1.0
PRIMARY,OTHER_OPERATING_COMPANY,TRIM_TO_SPY_HORIZON,50,104,True,0.00128957399988975,-0.0018228363524142818,0.5769230769230769,-0.05,1.0
PRIMARY,OTHER_OR_UNRESOLVED_OPERATING_COMPANY,MATCHED_HOLD,10,114,True,0.0,0.0,0.0,0.0,1.0
PRIMARY,OTHER_OR_UNRESOLVED_OPERATING_COMPANY,MATCHED_HOLD,25,114,True,0.0,0.0,0.0,0.0,1.0
PRIMARY,OTHER_OR_UNRESOLVED_OPERATING_COMPANY,MATCHED_HOLD,50,114,True,0.0,0.0,0.0,0.0,1.0
PRIMARY,OTHER_OR_UNRESOLVED_OPERATING_COMPANY,TRIM_KEEP_CASH,10,114,True,-0.00145852913856,-0.0017016879103557646,0.40350877192982454,-0.05,0.0
PRIMARY,OTHER_OR_UNRESOLVED_OPERATING_COMPANY,TRIM_KEEP_CASH,25,114,True,-0.0015321322790645,-0.0017766122287247313,0.40350877192982454,-0.05,0.0
PRIMARY,OTHER_OR_UNRESOLVED_OPERATING_COMPANY,TRIM_KEEP_CASH,50,114,True,-0.00165468140057255,-0.0019013611094487414,0.40350877192982454,-0.05,0.0
PRIMARY,OTHER_OR_UNRESOLVED_OPERATING_COMPANY,TRIM_REENTER_21,10,114,True,-0.00059383518243185,-0.0007076502132906187,0.3684210526315789,-0.00059276472427345,1.0
PRIMARY,OTHER_OR_UNRESOLVED_OPERATING_COMPANY,TRIM_REENTER_21,25,114,True,-0.0007386699402432,-0.0008602333879055409,0.3508771929824561,-0.0007407644397773,1.0
PRIMARY,OTHER_OR_UNRESOLVED_OPERATING_COMPANY,TRIM_REENTER_21,50,114,True,-0.0009790984057853,-0.0011135243734020626,0.3333333333333333,-0.0009864467955663998,1.0
PRIMARY,OTHER_OR_UNRESOLVED_OPERATING_COMPANY,TRIM_REENTER_63,10,114,True,-0.0004195411533638,-0.0005488852419514886,0.45614035087719296,-0.00038523030903825004,1.0
PRIMARY,OTHER_OR_UNRESOLVED_OPERATING_COMPANY,TRIM_REENTER_63,25,114,True,-0.0005713213804823,-0.0007019439981378131,0.45614035087719296,-0.0005338516953205001,1.0
PRIMARY,OTHER_OR_UNRESOLVED_OPERATING_COMPANY,TRIM_REENTER_63,50,114,True,-0.0008232794577917499,-0.0009560244581304685,0.43859649122807015,-0.00078056603648095,1.0
PRIMARY,OTHER_OR_UNRESOLVED_OPERATING_COMPANY,TRIM_TO_SPY_HORIZON,10,114,True,0.00045224309609075,0.0002901241915358281,0.543859649122807,-0.05,1.0
PRIMARY,OTHER_OR_UNRESOLVED_OPERATING_COMPANY,TRIM_TO_SPY_HORIZON,25,114,True,0.00030286232166045,0.00013455217677982762,0.543859649122807,-0.05,1.0
PRIMARY,OTHER_OR_UNRESOLVED_OPERATING_COMPANY,TRIM_TO_SPY_HORIZON,50,114,True,5.488738166375254e-05,-0.00012370034046312218,0.5087719298245614,-0.05,1.0
PRIMARY,UNPROFITABLE_HIGH_GROWTH,MATCHED_HOLD,10,3,False,0.0,0.0,0.0,0.0,1.0
PRIMARY,UNPROFITABLE_HIGH_GROWTH,MATCHED_HOLD,25,3,False,0.0,0.0,0.0,0.0,1.0
PRIMARY,UNPROFITABLE_HIGH_GROWTH,MATCHED_HOLD,50,3,False,0.0,0.0,0.0,0.0,1.0
PRIMARY,UNPROFITABLE_HIGH_GROWTH,TRIM_KEEP_CASH,10,3,False,-0.0085923170054355,-0.013006222882379398,0.0,-0.05,0.0
PRIMARY,UNPROFITABLE_HIGH_GROWTH,TRIM_KEEP_CASH,25,3,False,-0.0086667519398315,-0.0130812276338376,0.0,-0.05,0.0
PRIMARY,UNPROFITABLE_HIGH_GROWTH,TRIM_KEEP_CASH,50,3,False,-0.008790685996955,-0.013206110435537701,0.0,-0.05,0.0
PRIMARY,UNPROFITABLE_HIGH_GROWTH,TRIM_REENTER_21,10,3,False,-0.0044946824240053,-0.004582559791845734,0.3333333333333333,-0.0038607867454847,1.0
PRIMARY,UNPROFITABLE_HIGH_GROWTH,TRIM_REENTER_21,25,3,False,-0.0046555852645569,-0.004757559065985667,0.3333333333333333,-0.0039989970783871,1.0
PRIMARY,UNPROFITABLE_HIGH_GROWTH,TRIM_REENTER_21,50,3,False,-0.0049226870544842,-0.005048061205031534,0.3333333333333333,-0.0042284288719971,1.0
PRIMARY,UNPROFITABLE_HIGH_GROWTH,TRIM_REENTER_63,10,3,False,-0.0076292014398931,-0.004616400134396267,0.3333333333333333,-0.0065532371409512,1.0
PRIMARY,UNPROFITABLE_HIGH_GROWTH,TRIM_REENTER_63,25,3,False,-0.0077807148070201,-0.004791298039555467,0.3333333333333333,-0.0066833822200438,1.0
PRIMARY,UNPROFITABLE_HIGH_GROWTH,TRIM_REENTER_63,50,3,False,-0.0080322298916445,-0.0050816319041567665,0.3333333333333333,-0.0068994255382147,1.0
PRIMARY,UNPROFITABLE_HIGH_GROWTH,TRIM_TO_SPY_HORIZON,10,3,False,-0.0040047557372465,-0.0054735308215095,0.3333333333333333,-0.05,1.0
PRIMARY,UNPROFITABLE_HIGH_GROWTH,TRIM_TO_SPY_HORIZON,25,3,False,-0.0041671261565816,-0.0056458611857583335,0.3333333333333333,-0.05,1.0
PRIMARY,UNPROFITABLE_HIGH_GROWTH,TRIM_TO_SPY_HORIZON,50,3,False,-0.0044366641553335,-0.0059319328833864,0.3333333333333333,-0.05,1.0
