ticker,universe_role,signal_date,outcome_end,fold_id,success_label,first_boundary,terminal_path,maximum_favorable_excursion,maximum_adverse_excursion,terminal_return,stress_constrained_sleeve_share_delta_rate,stress_constrained_time_to_reentry_sessions,future_fields_are_labels_only
ABBV,PRIMARY,2019-12-20,2020-06-23,F04,ECONOMIC_REBUY_OPPORTUNITY,DOWNSIDE_PULLBACK,LARGE_PULLBACK,0.12101686701054071,-0.26787511303361566,0.12101686701054071,0.3018747716469367,61.0,True
ABBV,PRIMARY,2020-01-03,2020-07-06,F04,ECONOMIC_REBUY_OPPORTUNITY,DOWNSIDE_PULLBACK,LARGE_PULLBACK,0.14969529077187183,-0.2630054171429671,0.14818755373326353,0.0600541937011402,18.0,True
ABBV,PRIMARY,2022-01-28,2022-08-01,F06,HEALTHY_CONTINUATION,UPSIDE_CONTINUATION,CONTINUATION,0.26856132242356834,-0.007468169358031518,0.034907825977850804,0.0,,True
ABT,INDEPENDENT_CURRENT_CONSTITUENTS,2018-09-21,2019-03-26,F03,HEALTHY_CONTINUATION,UPSIDE_CONTINUATION,CONTINUATION,0.16961530056153484,-0.04663940675682898,0.15412984041456634,0.0,,True
ABT,INDEPENDENT_CURRENT_CONSTITUENTS,2021-01-29,2021-07-30,F05,ECONOMIC_REBUY_OPPORTUNITY,DOWNSIDE_PULLBACK,LARGE_PULLBACK,0.03754355703022605,-0.14088150867879246,-0.013783580285618768,0.1525914468774438,84.0,True
ABT,INDEPENDENT_CURRENT_CONSTITUENTS,2021-12-31,2022-07-05,F06,STRUCTURAL_DAMAGE,DOWNSIDE_PULLBACK,STRUCTURAL_BREAK,-0.012079392353954499,-0.2693032456382989,-0.21754512433260775,0.3573981943310531,115.0,True
ABT,INDEPENDENT_CURRENT_CONSTITUENTS,2024-01-12,2024-07-16,F08,ECONOMIC_REBUY_OPPORTUNITY,DOWNSIDE_PULLBACK,LARGE_PULLBACK,0.061797850477020466,-0.11139765829992532,-0.08903532332972208,0.1095254756274124,93.0,True
ABT,INDEPENDENT_CURRENT_CONSTITUENTS,2025-01-24,2025-07-28,F09,NO_ECONOMIC_EDGE,NO_BOUNDARY,UNRESOLVED,0.12149099737030555,-0.027340070384258564,0.019795749020732112,0.0,,True
ACGL,INDEPENDENT_CURRENT_CONSTITUENTS,2016-09-02,2017-03-07,F01,ECONOMIC_REBUY_OPPORTUNITY,UPSIDE_CONTINUATION,CONTINUATION,0.1710091527760742,-0.05773700381908986,0.1496024797080968,0.0631703951766893,41.0,True
ACGL,INDEPENDENT_CURRENT_CONSTITUENTS,2016-11-25,2017-05-30,F01,HEALTHY_CONTINUATION,UPSIDE_CONTINUATION,CONTINUATION,0.19089361120965975,-0.006330624829917086,0.1563185410295811,0.0,,True
ACGL,INDEPENDENT_CURRENT_CONSTITUENTS,2022-11-25,2023-05-30,F07,HEALTHY_CONTINUATION,UPSIDE_CONTINUATION,CONTINUATION,0.31636293350105493,-0.012089265079748612,0.212327520340847,0.0,,True
ACGL,INDEPENDENT_CURRENT_CONSTITUENTS,2024-08-30,2025-03-05,F09,ECONOMIC_REBUY_OPPORTUNITY,DOWNSIDE_PULLBACK,LARGE_PULLBACK,0.015651320826743254,-0.1804689772514938,-0.15052581402192688,0.2079974392961565,115.0,True
ACGL,INDEPENDENT_CURRENT_CONSTITUENTS,2024-10-04,2025-04-08,F09,ECONOMIC_REBUY_OPPORTUNITY,DOWNSIDE_PULLBACK,LARGE_PULLBACK,-0.004004900844026271,-0.22184731160260973,-0.20875449346336716,0.253040842348559,124.0,True
ACN,INDEPENDENT_CURRENT_CONSTITUENTS,2017-09-15,2018-03-19,F02,HEALTHY_CONTINUATION,UPSIDE_CONTINUATION,CONTINUATION,0.22892898652012073,-0.008127283258026363,0.1981941462378216,0.0,,True
ACN,INDEPENDENT_CURRENT_CONSTITUENTS,2023-12-22,2024-06-26,F08,ECONOMIC_REBUY_OPPORTUNITY,DOWNSIDE_PULLBACK,LARGE_PULLBACK,0.09556471907115105,-0.19908630461411936,-0.13410584571033335,0.2403208882209906,118.0,True
ACN,INDEPENDENT_CURRENT_CONSTITUENTS,2024-01-19,2024-07-22,F08,ECONOMIC_REBUY_OPPORTUNITY,DOWNSIDE_PULLBACK,LARGE_PULLBACK,0.06323181549501689,-0.2227233064588594,-0.0814698302760043,0.2795091780504211,101.0,True
ADBE,INDEPENDENT_CURRENT_CONSTITUENTS,2016-09-02,2017-03-07,F01,ECONOMIC_REBUY_OPPORTUNITY,UPSIDE_CONTINUATION,CONTINUATION,0.1620160166902076,-0.04634549651350428,0.15844360092240106,0.038134565936728,7.0,True
ADBE,INDEPENDENT_CURRENT_CONSTITUENTS,2016-09-23,2017-03-27,F01,ECONOMIC_REBUY_OPPORTUNITY,UPSIDE_CONTINUATION,CONTINUATION,0.19335627215011142,-0.07406717196538004,0.19335627215011142,0.0667629586759002,48.0,True
ADBE,INDEPENDENT_CURRENT_CONSTITUENTS,2017-09-01,2018-03-06,F02,ECONOMIC_REBUY_OPPORTUNITY,UPSIDE_CONTINUATION,CONTINUATION,0.3681800411687868,-0.06765117027191292,0.36727716871833627,0.0567008599371616,15.0,True
ADBE,INDEPENDENT_CURRENT_CONSTITUENTS,2018-01-05,2018-07-09,F02,HEALTHY_CONTINUATION,UPSIDE_CONTINUATION,CONTINUATION,0.39257586733857064,-0.0016186630300477622,0.34763143026997034,0.0,,True
ADBE,INDEPENDENT_CURRENT_CONSTITUENTS,2018-01-26,2018-07-27,F02,ECONOMIC_REBUY_OPPORTUNITY,UPSIDE_CONTINUATION,CONTINUATION,0.3073522570651168,-0.08017883334051468,0.26582212457005183,0.0607703969192283,9.0,True
ADBE,INDEPENDENT_CURRENT_CONSTITUENTS,2023-10-13,2024-04-16,F08,ECONOMIC_REBUY_OPPORTUNITY,DOWNSIDE_PULLBACK,LARGE_PULLBACK,0.15671695907896677,-0.14334135559307304,-0.1321889483645825,0.0614903380232534,9.0,True
ADI,INDEPENDENT_CURRENT_CONSTITUENTS,2016-08-05,2017-02-06,F01,ECONOMIC_REBUY_OPPORTUNITY,UPSIDE_CONTINUATION,CONTINUATION,0.22277728259553742,-0.05769996246211506,0.20052484208916943,0.0648989841610097,24.0,True
ADI,INDEPENDENT_CURRENT_CONSTITUENTS,2016-09-23,2017-03-27,F01,HEALTHY_CONTINUATION,UPSIDE_CONTINUATION,CONTINUATION,0.3409119366467759,-0.03985472632500087,0.30173234898129997,0.0,,True
ADI,INDEPENDENT_CURRENT_CONSTITUENTS,2017-10-13,2018-04-17,F02,ECONOMIC_REBUY_OPPORTUNITY,NO_BOUNDARY,UNRESOLVED,0.09761458043340698,-0.06673450501226919,0.07983770637754439,0.0456529682217987,35.0,True
ADI,INDEPENDENT_CURRENT_CONSTITUENTS,2017-10-27,2018-05-01,F02,ECONOMIC_REBUY_OPPORTUNITY,DOWNSIDE_PULLBACK,TRADABLE_PULLBACK,0.07174186101558244,-0.0887332254416392,-0.0155237874089027,0.0804143297724526,73.0,True
ADI,INDEPENDENT_CURRENT_CONSTITUENTS,2020-11-06,2021-05-11,F05,HEALTHY_CONTINUATION,UPSIDE_CONTINUATION,CONTINUATION,0.2353352803788864,-0.002022518350448088,0.13975151373043593,0.0,,True
ADI,INDEPENDENT_CURRENT_CONSTITUENTS,2020-11-27,2021-06-01,F05,NO_ECONOMIC_EDGE,NO_BOUNDARY,UNRESOLVED,0.21044661351566485,0.009655250951149608,0.20375477334738146,0.0,,True
ADM,INDEPENDENT_CURRENT_CONSTITUENTS,2019-12-20,2020-06-23,F04,STRUCTURAL_DAMAGE,DOWNSIDE_PULLBACK,STRUCTURAL_BREAK,0.012229772545048867,-0.3548680923429717,-0.11218748067432627,0.4951894713749438,61.0,True
ADM,INDEPENDENT_CURRENT_CONSTITUENTS,2020-01-17,2020-07-20,F04,ECONOMIC_REBUY_OPPORTUNITY,DOWNSIDE_PULLBACK,LARGE_PULLBACK,0.019226357130550875,-0.34716939520383694,-0.09506786023056801,0.4704112934039315,43.0,True
ADM,INDEPENDENT_CURRENT_CONSTITUENTS,2022-01-07,2022-07-12,F06,HEALTHY_CONTINUATION,UPSIDE_CONTINUATION,CONTINUATION,0.4144348889744631,-0.020627018949630704,0.05392534477998101,0.0,,True
ADM,INDEPENDENT_CURRENT_CONSTITUENTS,2022-01-28,2022-08-01,F06,HEALTHY_CONTINUATION,UPSIDE_CONTINUATION,CONTINUATION,0.3006020134158063,-0.04619231944857094,0.12089054060775073,0.0,,True
ADP,INDEPENDENT_CURRENT_CONSTITUENTS,2016-12-16,2017-06-20,F01,ECONOMIC_REBUY_OPPORTUNITY,NO_BOUNDARY,UNRESOLVED,0.04846806899539269,-0.05552817938387278,0.027535658526273155,0.0364502391841492,33.0,True
ADP,INDEPENDENT_CURRENT_CONSTITUENTS,2017-12-08,2018-06-12,F02,ECONOMIC_REBUY_OPPORTUNITY,DOWNSIDE_PULLBACK,TRADABLE_PULLBACK,0.21340990143764715,-0.06697134005598437,0.21340990143764715,0.0713805850374753,41.0,True
ADP,INDEPENDENT_CURRENT_CONSTITUENTS,2018-08-17,2019-02-20,F03,ECONOMIC_REBUY_OPPORTUNITY,DOWNSIDE_PULLBACK,LARGE_PULLBACK,0.069695367960245,-0.1355868597480706,0.06720808633519226,0.1385430667164091,88.0,True
ADP,INDEPENDENT_CURRENT_CONSTITUENTS,2022-12-02,2023-06-06,F07,ECONOMIC_REBUY_OPPORTUNITY,DOWNSIDE_PULLBACK,LARGE_PULLBACK,-0.015519600447119863,-0.21751776908736176,-0.1885008689355332,0.2894740938076394,97.0,True
ADP,INDEPENDENT_CURRENT_CONSTITUENTS,2024-08-30,2025-03-05,F09,HEALTHY_CONTINUATION,UPSIDE_CONTINUATION,CONTINUATION,0.1667207200580012,-0.023014623436902748,0.13665910128313108,0.0,,True
ADP,INDEPENDENT_CURRENT_CONSTITUENTS,2024-09-13,2025-03-18,F09,HEALTHY_CONTINUATION,UPSIDE_CONTINUATION,CONTINUATION,0.154160485119464,-0.01668406630101482,0.07761302682885707,0.0,,True
ADSK,INDEPENDENT_CURRENT_CONSTITUENTS,2016-08-19,2017-02-21,F01,HEALTHY_CONTINUATION,UPSIDE_CONTINUATION,CONTINUATION,0.3672732857386394,-0.008942634059874055,0.3672732857386394,0.0,,True
ADSK,INDEPENDENT_CURRENT_CONSTITUENTS,2016-09-16,2017-03-20,F01,HEALTHY_CONTINUATION,UPSIDE_CONTINUATION,CONTINUATION,0.31553257873912477,0.0001479606542362788,0.2769231012380524,0.0,,True
ADSK,INDEPENDENT_CURRENT_CONSTITUENTS,2017-01-06,2017-07-10,F01,HEALTHY_CONTINUATION,UPSIDE_CONTINUATION,CONTINUATION,0.43619161437094034,-0.008575034979144358,0.308196644514505,0.0,,True
ADSK,INDEPENDENT_CURRENT_CONSTITUENTS,2020-01-17,2020-07-20,F04,ECONOMIC_REBUY_OPPORTUNITY,DOWNSIDE_PULLBACK,LARGE_PULLBACK,0.283682384636863,-0.29661238319454075,0.2725109156332217,0.4073830527817192,52.0,True
ADSK,INDEPENDENT_CURRENT_CONSTITUENTS,2023-12-15,2024-06-18,F08,ECONOMIC_REBUY_OPPORTUNITY,DOWNSIDE_PULLBACK,LARGE_PULLBACK,0.10066449327026339,-0.17483182042747603,0.007552940074310621,0.0524686149101985,11.0,True
ADSK,INDEPENDENT_CURRENT_CONSTITUENTS,2024-09-27,2025-04-01,F09,NO_ECONOMIC_EDGE,UPSIDE_CONTINUATION,UNRESOLVED,0.1815740941802204,-0.09183524001542842,-0.026811359557003644,0.0,,True
AEE,INDEPENDENT_CURRENT_CONSTITUENTS,2018-08-17,2019-02-20,F03,NO_ECONOMIC_EDGE,NO_BOUNDARY,UNRESOLVED,0.1077383046922038,-0.03374164178625416,0.10210205422305996,0.0,,True
AEE,INDEPENDENT_CURRENT_CONSTITUENTS,2018-09-07,2019-03-12,F03,ECONOMIC_REBUY_OPPORTUNITY,UPSIDE_CONTINUATION,CONTINUATION,0.1302842349479505,-0.042318494173437915,0.1302842349479505,0.0305189048405931,12.0,True
AEE,INDEPENDENT_CURRENT_CONSTITUENTS,2024-12-27,2025-07-02,F09,HEALTHY_CONTINUATION,UPSIDE_CONTINUATION,CONTINUATION,0.15035494810340122,-0.03606308194892194,0.07506676948243518,0.0,,True
AEE,INDEPENDENT_CURRENT_CONSTITUENTS,2025-01-17,2025-07-22,F09,NO_ECONOMIC_EDGE,NO_BOUNDARY,UNRESOLVED,0.1008814020720219,-0.014654183857962355,0.08744899205654777,0.0,,True
AEP,INDEPENDENT_CURRENT_CONSTITUENTS,2017-08-18,2018-02-20,F02,ECONOMIC_REBUY_OPPORTUNITY,UPSIDE_CONTINUATION,LARGE_PULLBACK,0.08470861571384902,-0.10580158761258507,-0.06361708090502793,0.1087971621850336,119.0,True
AEP,INDEPENDENT_CURRENT_CONSTITUENTS,2018-11-30,2019-06-05,F03,ECONOMIC_REBUY_OPPORTUNITY,UPSIDE_CONTINUATION,CONTINUATION,0.16876034972267906,-0.06393120513805717,0.16876034972267906,0.0600316082690224,21.0,True
AEP,INDEPENDENT_CURRENT_CONSTITUENTS,2020-01-24,2020-07-24,F04,STRUCTURAL_DAMAGE,DOWNSIDE_PULLBACK,STRUCTURAL_BREAK,0.028280818728749102,-0.31007724014631455,-0.12439909967983198,0.4182384624356252,39.0,True
AES,INDEPENDENT_CURRENT_CONSTITUENTS,2016-08-12,2017-02-13,F01,ECONOMIC_REBUY_OPPORTUNITY,NO_BOUNDARY,UNRESOLVED,0.08510629186248275,-0.08890241420784906,-0.024947733486394563,0.0857983480596782,77.0,True
AES,INDEPENDENT_CURRENT_CONSTITUENTS,2020-01-17,2020-07-20,F04,STRUCTURAL_DAMAGE,DOWNSIDE_PULLBACK,STRUCTURAL_BREAK,0.033123772032604526,-0.5303534527281175,-0.24277227734239504,1.1142690827041757,41.0,True
AES,INDEPENDENT_CURRENT_CONSTITUENTS,2024-09-13,2025-03-18,F09,ECONOMIC_REBUY_OPPORTUNITY,DOWNSIDE_PULLBACK,LARGE_PULLBACK,0.0916933412797658,-0.4501357687261025,-0.28456727543412164,0.8007734339570121,105.0,True
AFL,INDEPENDENT_CURRENT_CONSTITUENTS,2016-08-05,2017-02-06,F01,ECONOMIC_REBUY_OPPORTUNITY,NO_BOUNDARY,UNRESOLVED,0.022310741061871475,-0.07045201999424744,-0.04566937519170111,0.0764124761769962,123.0,True
AFL,INDEPENDENT_CURRENT_CONSTITUENTS,2017-08-04,2018-02-05,F02,HEALTHY_CONTINUATION,UPSIDE_CONTINUATION,CONTINUATION,0.14195008579737345,-0.016387380963121645,0.07369932489320474,0.0,,True
AFL,INDEPENDENT_CURRENT_CONSTITUENTS,2017-09-01,2018-03-06,F02,HEALTHY_CONTINUATION,UPSIDE_CONTINUATION,CONTINUATION,0.11196052593981332,-0.028347250262828028,0.08295068300747799,0.0,,True
AFL,INDEPENDENT_CURRENT_CONSTITUENTS,2022-01-14,2022-07-19,F06,ECONOMIC_REBUY_OPPORTUNITY,DOWNSIDE_PULLBACK,LARGE_PULLBACK,0.0464807269158507,-0.16133799656249903,-0.1303291427593889,0.1812421498929284,105.0,True
AFL,INDEPENDENT_CURRENT_CONSTITUENTS,2023-01-27,2023-07-31,F07,ECONOMIC_REBUY_OPPORTUNITY,DOWNSIDE_PULLBACK,LARGE_PULLBACK,0.010439421151706263,-0.15506289109463256,0.004468630811642393,0.1824655270581618,32.0,True
AFL,INDEPENDENT_CURRENT_CONSTITUENTS,2023-10-13,2024-04-16,F08,ECONOMIC_REBUY_OPPORTUNITY,NO_BOUNDARY,UNRESOLVED,0.08227076906360176,-0.04685354171022149,0.013825281545838841,0.0349149460969333,75.0,True
AFL,INDEPENDENT_CURRENT_CONSTITUENTS,2024-08-09,2025-02-11,F09,NO_ECONOMIC_EDGE,NO_BOUNDARY,UNRESOLVED,0.1442797066018624,-0.0001975371102181933,0.027086467796193503,0.0,,True
AFL,INDEPENDENT_CURRENT_CONSTITUENTS,2024-11-15,2025-05-21,F09,ECONOMIC_REBUY_OPPORTUNITY,DOWNSIDE_PULLBACK,TRADABLE_PULLBACK,0.029605366561343383,-0.09466795144407314,-0.05527034701551914,0.1173566987274197,96.0,True
AIG,INDEPENDENT_CURRENT_CONSTITUENTS,2016-11-11,2017-05-16,F01,ECONOMIC_REBUY_OPPORTUNITY,NO_BOUNDARY,UNRESOLVED,0.06659043155942657,-0.05910320598112817,-0.009649650891925154,0.0580194845488895,107.0,True
AIG,INDEPENDENT_CURRENT_CONSTITUENTS,2016-12-09,2017-06-13,F01,ECONOMIC_REBUY_OPPORTUNITY,DOWNSIDE_PULLBACK,TRADABLE_PULLBACK,0.020811116047519063,-0.09948760276833313,-0.014415992115855092,0.1037391490329782,88.0,True
AIG,INDEPENDENT_CURRENT_CONSTITUENTS,2020-11-27,2021-06-01,F05,HEALTHY_CONTINUATION,UPSIDE_CONTINUATION,CONTINUATION,0.36852263511297645,-0.06575264066363262,0.36852263511297645,0.0,,True
AIG,INDEPENDENT_CURRENT_CONSTITUENTS,2020-12-25,2021-06-28,F05,HEALTHY_CONTINUATION,UPSIDE_CONTINUATION,CONTINUATION,0.44249679303317735,-0.008027757898873444,0.2999134967367869,0.0,,True
AIG,INDEPENDENT_CURRENT_CONSTITUENTS,2022-12-23,2023-06-28,F07,ECONOMIC_REBUY_OPPORTUNITY,DOWNSIDE_PULLBACK,LARGE_PULLBACK,0.02200780930050983,-0.24830945289636186,-0.09423589199386417,0.357824572155607,60.0,True
AIG,INDEPENDENT_CURRENT_CONSTITUENTS,2023-01-27,2023-07-31,F07,ECONOMIC_REBUY_OPPORTUNITY,DOWNSIDE_PULLBACK,LARGE_PULLBACK,-0.0017369042641727228,-0.2503273322841918,-0.0355490253498596,0.3509701955256119,38.0,True
AIG,INDEPENDENT_CURRENT_CONSTITUENTS,2023-12-29,2024-07-02,F08,HEALTHY_CONTINUATION,UPSIDE_CONTINUATION,CONTINUATION,0.19444877649191006,-0.0147598945330496,0.123244194593364,0.0,,True
AIG,INDEPENDENT_CURRENT_CONSTITUENTS,2024-01-26,2024-07-29,F08,HEALTHY_CONTINUATION,UPSIDE_CONTINUATION,CONTINUATION,0.16387019724825147,-0.020135182028738097,0.13299107422701528,0.0,,True
AIZ,INDEPENDENT_CURRENT_CONSTITUENTS,2016-09-02,2017-03-07,F01,ECONOMIC_REBUY_OPPORTUNITY,DOWNSIDE_PULLBACK,LARGE_PULLBACK,0.1306315154703912,-0.1276595766311731,0.11661757819678753,0.1276366213664306,42.0,True
AIZ,INDEPENDENT_CURRENT_CONSTITUENTS,2017-01-27,2017-07-28,F01,ECONOMIC_REBUY_OPPORTUNITY,NO_BOUNDARY,UNRESOLVED,0.09744902660305943,-0.07590904675635723,0.08918728555827049,0.0726201631225396,8.0,True
AIZ,INDEPENDENT_CURRENT_CONSTITUENTS,2020-12-25,2021-06-28,F05,ECONOMIC_REBUY_OPPORTUNITY,UPSIDE_CONTINUATION,CONTINUATION,0.2442211699247201,-0.07427198402863167,0.19177320780390406,0.0722643032930974,36.0,True
AIZ,INDEPENDENT_CURRENT_CONSTITUENTS,2021-08-27,2022-02-28,F06,ECONOMIC_REBUY_OPPORTUNITY,DOWNSIDE_PULLBACK,LARGE_PULLBACK,0.010495474717024722,-0.12842535955781054,0.010495474717024722,0.1551270095266321,101.0,True
AIZ,INDEPENDENT_CURRENT_CONSTITUENTS,2023-11-24,2024-05-28,F08,NO_ECONOMIC_EDGE,NO_BOUNDARY,UNRESOLVED,0.14019286671617093,-0.015138833472634894,0.02104900370379381,0.0,,True
AIZ,INDEPENDENT_CURRENT_CONSTITUENTS,2023-12-29,2024-07-02,F08,NO_ECONOMIC_EDGE,NO_BOUNDARY,UNRESOLVED,0.12198939924593666,-0.030802821417827753,-0.00734138127621109,0.0,,True
AIZ,INDEPENDENT_CURRENT_CONSTITUENTS,2024-08-30,2025-03-05,F09,HEALTHY_CONTINUATION,UPSIDE_CONTINUATION,CONTINUATION,0.16894142096079245,-0.04615841667317544,0.05341049010432597,0.0,,True
AJG,INDEPENDENT_CURRENT_CONSTITUENTS,2016-08-05,2017-02-06,F01,NO_ECONOMIC_EDGE,NO_BOUNDARY,UNRESOLVED,0.12481536818290495,-0.03212940856934121,0.11245933652719087,0.0,,True
AJG,INDEPENDENT_CURRENT_CONSTITUENTS,2018-01-26,2018-07-27,F02,ECONOMIC_REBUY_OPPORTUNITY,DOWNSIDE_PULLBACK,TRADABLE_PULLBACK,0.03650810856376263,-0.08639539993272638,0.017907157897844916,0.0744374787411099,9.0,True
AJG,INDEPENDENT_CURRENT_CONSTITUENTS,2020-12-11,2021-06-15,F05,ECONOMIC_REBUY_OPPORTUNITY,UPSIDE_CONTINUATION,CONTINUATION,0.26527509485681233,-0.05694525179034238,0.2138354201478967,0.0432548585322063,31.0,True
AJG,INDEPENDENT_CURRENT_CONSTITUENTS,2023-11-24,2024-05-28,F08,ECONOMIC_REBUY_OPPORTUNITY,DOWNSIDE_PULLBACK,LARGE_PULLBACK,0.024249938086280398,-0.12776682731046995,-0.013527864242233956,0.1376199282331871,18.0,True
AJG,INDEPENDENT_CURRENT_CONSTITUENTS,2024-08-30,2025-03-05,F09,ECONOMIC_REBUY_OPPORTUNITY,UPSIDE_CONTINUATION,CONTINUATION,0.17296232626124453,-0.054511453054302605,0.16949638555891244,0.0460050303730756,18.0,True
AKAM,INDEPENDENT_CURRENT_CONSTITUENTS,2016-10-28,2017-05-02,F01,ECONOMIC_REBUY_OPPORTUNITY,DOWNSIDE_PULLBACK,LARGE_PULLBACK,0.017307953463780335,-0.1689315487299461,-0.1059934669155187,0.1904689529079388,106.0,True
AKAM,INDEPENDENT_CURRENT_CONSTITUENTS,2016-12-16,2017-06-20,F01,ECONOMIC_REBUY_OPPORTUNITY,DOWNSIDE_PULLBACK,LARGE_PULLBACK,0.05849084934190096,-0.3004911699181656,-0.2760827857770204,0.4173433956375074,104.0,True
AKAM,INDEPENDENT_CURRENT_CONSTITUENTS,2017-01-06,2017-07-10,F01,ECONOMIC_REBUY_OPPORTUNITY,DOWNSIDE_PULLBACK,LARGE_PULLBACK,0.01905719748484569,-0.326551090694555,-0.288580013246975,0.4678575995100047,91.0,True
AKAM,INDEPENDENT_CURRENT_CONSTITUENTS,2017-12-22,2018-06-26,F02,HEALTHY_CONTINUATION,UPSIDE_CONTINUATION,CONTINUATION,0.2617265955426451,-0.04522529271103348,0.1569137471136277,0.0,,True
AKAM,INDEPENDENT_CURRENT_CONSTITUENTS,2020-01-10,2020-07-13,F04,ECONOMIC_REBUY_OPPORTUNITY,DOWNSIDE_PULLBACK,LARGE_PULLBACK,0.22164015385866542,-0.1441248359438928,0.17545176771144178,0.2162123378223024,43.0,True
AKAM,INDEPENDENT_CURRENT_CONSTITUENTS,2023-08-11,2024-02-12,F08,HEALTHY_CONTINUATION,UPSIDE_CONTINUATION,CONTINUATION,0.2298256838255226,-0.03958210989509103,0.22819626647811186,0.0,,True
ALB,INDEPENDENT_CURRENT_CONSTITUENTS,2016-09-23,2017-03-27,F01,HEALTHY_CONTINUATION,UPSIDE_CONTINUATION,CONTINUATION,0.32381288593812685,-0.04544897177003404,0.3037457506160006,0.0,,True
ALB,INDEPENDENT_CURRENT_CONSTITUENTS,2017-01-27,2017-07-28,F01,HEALTHY_CONTINUATION,UPSIDE_CONTINUATION,CONTINUATION,0.2563001282217481,-0.0443306507617478,0.22825589015447556,0.0,,True
ALGN,INDEPENDENT_CURRENT_CONSTITUENTS,2018-01-26,2018-07-27,F02,ECONOMIC_REBUY_OPPORTUNITY,DOWNSIDE_PULLBACK,LARGE_PULLBACK,0.3444025333194245,-0.22276999060702196,0.24580056873979395,0.262417040291486,9.0,True
ALGN,INDEPENDENT_CURRENT_CONSTITUENTS,2020-12-18,2021-06-22,F05,NO_ECONOMIC_EDGE,NO_BOUNDARY,UNRESOLVED,0.1733092350988601,-0.06387752244170009,0.14113458920856248,0.0,,True
ALGN,INDEPENDENT_CURRENT_CONSTITUENTS,2021-01-08,2021-07-12,F05,ECONOMIC_REBUY_OPPORTUNITY,NO_BOUNDARY,UNRESOLVED,0.12677677315029978,-0.13051025919066384,0.12677677315029978,0.1015171235682355,12.0,True
ALGN,INDEPENDENT_CURRENT_CONSTITUENTS,2021-01-29,2021-07-30,F05,HEALTHY_CONTINUATION,UPSIDE_CONTINUATION,CONTINUATION,0.3243747027114927,-0.05578818631588167,0.3243747027114927,0.0,,True
ALL,INDEPENDENT_CURRENT_CONSTITUENTS,2017-01-20,2017-07-21,F01,HEALTHY_CONTINUATION,UPSIDE_CONTINUATION,CONTINUATION,0.21576162426503687,-0.005231995449564653,0.20682791620835328,0.0,,True
ALL,INDEPENDENT_CURRENT_CONSTITUENTS,2018-01-19,2018-07-20,F02,ECONOMIC_REBUY_OPPORTUNITY,DOWNSIDE_PULLBACK,LARGE_PULLBACK,0.007039858643662189,-0.13153313743577966,-0.0901669651524476,0.1412683871552895,16.0,True
